monitoring_location,stn_code,latitude,longitude,geocode_query,geocoded
"Sultanpur Lake, Delhi",3032,28.6138954,77.2090057,"delhi, Delhi, India",True
"Western Yamuna Canal At Haiderpur Water Works, Delhi",1479,28.7223775,77.1456151,"haiderpur delhi, Delhi, India",True
"Agra Canal, Madanpur Khadar, Delhi",2057,28.53493,77.3005184,"madanpur khadar delhi, Delhi, India",True
Western Yamuna Canal C-3 Delhi Branch At R.D.245250,1111,,,,False
"Western Yamuna Canal C-4 Before Enter Into Delhi Branch, R.D.282628",1112,,,,False
Western Yamuna Canal C-7 Delhi Parallel Branch At Khubru Fall Rd-145250,1115,28.6138954,77.2090057,"145250, Delhi, India",True
Western Yamuna Canal Wc-4 Delhi Parallel Branch At Panipat,1116,28.587166,77.2588367,"panipat, Delhi, India",True
"Najafgarh Drain At Wazirabad Before Conf. To Riv.Yamuna, Delhi",1377,28.5070188,77.3500466,"riv.yamuna delhi, Delhi, India",True
"Water Works- Wazirabad, Delhi",3041,28.7297608,77.2212803,"wazirabad delhi, Delhi, India",True
"Water Works- Sonia Vihar, Delhi",3042,28.7199257,77.2481823,"sonia vihar delhi, Delhi, India",True
"Water Works- Chandraval, Delhi",3043,28.6138954,77.2090057,"delhi, Delhi, India",True
"Water Works- Nangloi, Delhi",3044,28.6554154,77.047835,"nangloi delhi, Delhi, India",True
"Water Works- Haiderpur, Delhi",3045,28.7223775,77.1456151,"haiderpur delhi, Delhi, India",True
"Water Works- Dwarka, Delhi",3046,28.5936077,77.0664075,"dwarka delhi, Delhi, India",True
"Yamuna At Palla, Delhi",1120,28.8468468,77.1869035,"palla delhi, Delhi, India",True
"Well At Bawana, Delhi",3480,28.8005849,77.0362609,"bawana delhi, Delhi, India",True
"Well At Burari, Delhi",3483,28.7536438,77.2016511,"burari delhi, Delhi, India",True
"Well At Dwarka, Delhi",3489,28.5945968,77.0477776,"well dwarka delhi, Delhi, India",True
"Well At Fateh Pur Beri, Delhi",3490,28.4573589,77.1825027,"beri delhi, Delhi, India",True
"Well At Gajipur, Delhi",3492,28.6138954,77.2090057,"delhi, Delhi, India",True
"Well At Gandhi Nagar, Delhi",3493,28.6322895,77.2798028,"gandhi nagar delhi, Delhi, India",True
"Well At Haiderpur, Delhi",3494,28.7223775,77.1456151,"haiderpur delhi, Delhi, India",True
"Well At Isbt, Delhi",3496,28.6712443,77.2311014,"isbt delhi, Delhi, India",True
"Well At Kalka Ji, Delhi",3498,28.5591636,77.2402846,"kalka delhi, Delhi, India",True
"Well At Kamla Nagar, Delhi",3500,28.6802219,77.2030462,"kamla nagar delhi, Delhi, India",True
"Well At Karol Bagh, Delhi",3503,28.6539198,77.191078,"karol bagh delhi, Delhi, India",True
"Well At Matiala, Delhi",3514,28.609631,77.0467536,"matiala delhi, Delhi, India",True
"Well At Maya Puri, Delhi",3515,28.7154494,77.1777198,"maya puri delhi, Delhi, India",True
"Well At Mayur Vihar, Delhi",3516,28.5953961,77.296491,"mayur vihar delhi, Delhi, India",True
