monitoring_location,stn_code,latitude,longitude,geocode_query,geocoded
Ganga At U/S Bhagalpur,3118,25.2861354,87.1304229,"bhagalpur, Bihar, India",True
"Ganga At Malsalami, Patna",3122,25.6093239,85.1235252,"patna, Bihar, India",True
Ganga At Barahia,3123,,,,False
Ghaghara Near Chapra,1076,25.7733443,84.7849772,"chapra, Bihar, India",True
Sone At Koelwar,1075,25.5693726,84.7927554,"koelwar, Bihar, India",True
"Gandak B/C At Sonepur, Patna",1078,25.6093239,85.1235252,"patna, Bihar, India",True
"Gandak At Rewaghat, Mujaffarpur",2568,,,,False
Gandak At Samastipur Road Bridge,2570,25.8613568,85.8038414,"gandak samastipur, Bihar, India",True
"Sikrahna At Lal Parse, Bittiah",2575,,,,False
Sikrana At Chanpatiya,1820,,,,False
"Burhi Gandak At Akharaghat, Muzaffarpur",2562,26.1482548,85.3316097,"muzaffarpur, Bihar, India",True
Harbora At Narkatiaganj,2558,27.0968882,84.4585344,"narkatiaganj, Bihar, India",True
Kamala At Benipatti (Madhubani),2567,26.4434731,85.9104806,"benipatti madhubani, Bihar, India",True
Kamala At Darbhanga,2569,26.0829899,86.0324951,"darbhanga, Bihar, India",True
"Manusmarat Riga, Sitamarhi",2563,26.6233704,85.3980911,"riga sitamarhi, Bihar, India",True
Koshi At Kurshela At Katihar,2565,25.5586421,87.6457196,"katihar, Bihar, India",True
Koshi At Madhepura,2566,25.8794585,86.7716341,"koshi madhepura, Bihar, India",True
Daha At Siwan,1821,26.131008,84.3910745,"siwan, Bihar, India",True
Daha D/S Sasamusa,2560,,,,False
"Daha At Itwa Bridge, Siwan",2561,26.131008,84.3910745,"siwan, Bihar, India",True
Dhous At Madhubani,1823,26.3503076,86.2296424,"madhubani, Bihar, India",True
Farmar At Jogbani,1824,26.402788,87.2637198,"jogbani, Bihar, India",True
Ram Rekhaat Harinagar,2559,27.156368,84.3244117,"harinagar, Bihar, India",True
Sirsa At Ruxol,1822,,,,False
Sone Near Banzari,3121,,,,False
