stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,latitude,longitude,geocode_query,geocoded
1533,"Digboi, Tinsukia Distt., Assam",Groundwater,ASSAM,2017,Unsafe,4.58,pH Out of Range,22.0,,6.25,331.0,1.3,2.0,2.0,2.0,,27.3956145,95.614868,"digboi tinsukia distt. assam, Assam, India",True
1534,"Ground Water At Karbi Anglong Distt., Assam",Groundwater,ASSAM,2017,Unsafe,6.22,pH Out of Range,26.0,,5.7,660.0,0.95,76.0,101.0,0.6,,25.8403569,93.4336966,"ground karbi anglong distt. assam, Assam, India",True
1536,Ground Water Near Bpms H.S. School Sonari Town Dist Charaideo,Groundwater,ASSAM,2017,Unsafe,2.7,pH Out of Range,26.0,,6.45,188.0,0.9,2.0,2.0,1.1,,27.0263746,95.0195484,"town dist charaideo, Assam, India",True
1537,"Ground Water At (Jorhat, Assam)",Groundwater,ASSAM,2017,Safe,2.79,,25.0,,6.9,227.0,1.0,2.0,2.0,1.1,,26.7323339,94.2237231,"ground jorhat assam, Assam, India",True
1538,"Ground Water At Silchar, Assam",Groundwater,ASSAM,2017,Unsafe,2.72,pH Out of Range,25.5,,6.3,93.0,0.7,2.0,2.0,1.25,,24.7566951,92.780956,"ground silchar assam, Assam, India",True
1539,"Ground Water At Barpeta, Assam",Groundwater,ASSAM,2017,Safe,3.39,,27.5,,7.55,290.5,0.95,2.0,151.0,1.15,,26.3304208,91.006361,"barpeta assam, Assam, India",True
1540,"Ground Water At Bonaigaon, Assam",Groundwater,ASSAM,2017,Unsafe,5.91,pH Out of Range,28.5,,6.05,166.5,1.5,2.0,2.0,5.2,,26.5123654,93.9715725,"assam, Assam, India",True
1542,"Ground Water At Sijubari Mazar, Natboma Hatigaon",Groundwater,ASSAM,2017,Unsafe,20.19,High Fecal Coliform,27.0,,6.7,620.0,2.5,100.0,2651.0,1.95,,26.1295619,91.767685,"natboma hatigaon, Assam, India",True
2244,"Ground Water From Nazira, Assam",Groundwater,ASSAM,2017,Safe,5.01,,25.0,,6.8,249.0,1.8,2.0,2.0,1.2,,26.8622087,94.7183167,"nazira assam, Assam, India",True
2246,"Ground Water From Semenchapari, Assam",Groundwater,ASSAM,2017,Safe,4.31,,21.0,,6.6,212.0,1.55,2.0,2.0,0.4,,26.5123654,93.9715725,"assam, Assam, India",True
2247,"Ground Water From Silapathar, Assam",Groundwater,ASSAM,2017,Unsafe,5.03,pH Out of Range,21.5,,6.35,159.5,1.6,2.0,2.0,0.85,,27.5893833,94.7255857,"silapathar assam, Assam, India",True
2248,"Ground Water From Lakhimpur Town, Assam",Groundwater,ASSAM,2017,Unsafe,6.22,pH Out of Range,28.0,,6.4,238.5,2.1,2.0,2.0,2.65,,27.236211,94.1038765,"lakhimpur town assam, Assam, India",True
2250,"Ground Water From Nagaon (Panigaon), Assam",Groundwater,ASSAM,2017,Unsafe,7.19,pH Out of Range,29.5,,6.15,399.0,2.1,2.0,2.0,1.6,,26.3480551,92.698018,"nagaon panigaon assam, Assam, India",True
