monitoring_location,stn_code,latitude,longitude,geocode_query,geocoded
Binwa D/S Paprola/Baijnath,2608,32.0525381,76.6348774,"paprola/baijnath, Himachal Pradesh, India",True
Neugal D/S Thural,2609,32.019593,76.4548985,"neugal thural, Himachal Pradesh, India",True
Spiti At Khab,2610,31.7998055,78.6442982,"khab, Himachal Pradesh, India",True
Baspa U/S Reservoir Baspa Project,2612,31.9901471,76.8072656,"project, Himachal Pradesh, India",True
Yamuna U/S Paonta Sahib,1553,30.4350018,77.6239468,"yamuna paonta sahib, Himachal Pradesh, India",True
Yamuna D/S Paonta Sahib,1554,30.4350018,77.6239468,"yamuna paonta sahib, Himachal Pradesh, India",True
Tons River,1510,30.7006048,77.7509359,"tons river, Himachal Pradesh, India",True
Ashwani U/S Yashwant Nagar,2620,32.1135887,77.171316,"nagar, Himachal Pradesh, India",True
Batta U/S Paonta,2626,30.4384439,77.6211774,"paonta, Himachal Pradesh, India",True
Batta B/C To Yamuna,2627,31.1300882,77.1700544,"yamuna, Himachal Pradesh, India",True
Giri D/S Yashwant Nagar,2621,32.1135887,77.171316,"nagar, Himachal Pradesh, India",True
Giri U/S Cci Mines,2622,31.8039745,76.9495803,"mines, Himachal Pradesh, India",True
Giri D/S Sataun,2623,30.5581131,77.6385378,"sataun, Himachal Pradesh, India",True
Pabbar U/S Dhambari,2617,,,,False
Pabbar U/S Rohru,2618,31.1973022,77.7463562,"pabbar rohru, Himachal Pradesh, India",True
Pabbar D/S Swarakuddu,2619,,,,False
"At Kala Amb,",1555,32.0131069,76.6687667,"kala amb, Himachal Pradesh, India",True
At Paonta Sahib,1556,30.4384439,77.6211774,"paonta sahib, Himachal Pradesh, India",True
At Parwanoo,1557,30.837887,76.9601747,"parwanoo, Himachal Pradesh, India",True
At Baddi,1558,30.9763026,76.7674001,"baddi, Himachal Pradesh, India",True
At Barotiwala,1559,30.9058213,76.8401329,"barotiwala, Himachal Pradesh, India",True
At Nalagarh,1560,31.1059814,76.6567018,"nalagarh, Himachal Pradesh, India",True
At Damta,1561,,,,False
At Una,1562,31.5834642,76.2351452,"una, Himachal Pradesh, India",True
