stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,latitude,longitude,geocode_query,geocoded
1533,"Ground Water At Digboi, Tinsukia Distt., Assam",Groundwater,ASSAM,2020,Safe,8.32,,25.0,,7.15,227.5,1.5,0.75,,,,27.4872179,95.3673215,"tinsukia distt. assam, Assam, India",True
1534,"Ground Water At Karbi Anglong Distt., Assam",Groundwater,ASSAM,2020,Safe,8.88,,25.0,,7.3,120.0,1.6,0.8,,,,25.8403569,93.4336966,"ground karbi anglong distt. assam, Assam, India",True
1535,"Ground Water At Sibsagar Govt Me School Ward 6, Red Cross Road , Assam",Groundwater,ASSAM,2020,Safe,8.32,,24.5,,7.15,272.0,1.5,1.05,,,,27.4866655,94.9146622,"cross assam, Assam, India",True
1536,Ground Water Near Bpms H.S. School Sonari Town Dist Charaideo,Groundwater,ASSAM,2020,Safe,8.05,,26.0,,6.9,299.0,1.45,0.7,,,,27.0263746,95.0195484,"town dist charaideo, Assam, India",True
1537,"Ground Water At (Jorhat, Assam)",Groundwater,ASSAM,2020,Safe,6.66,,26.0,,7.6,294.0,1.2,1.25,,,,26.7323339,94.2237231,"ground jorhat assam, Assam, India",True
1538,"Ground Water At Silchar, Assam",Groundwater,ASSAM,2020,Safe,8.32,,23.0,,6.8,153.0,1.5,0.55,,,,24.7566951,92.780956,"ground silchar assam, Assam, India",True
1539,"Ground Water At Barpeta, Assam",Groundwater,ASSAM,2020,Safe,10.54,,28.0,,7.15,334.0,1.9,0.6,,,,26.3304208,91.006361,"barpeta assam, Assam, India",True
1540,"Ground Water At Bonaigaon, Assam",Groundwater,ASSAM,2020,Safe,7.77,,30.0,,7.4,283.5,1.4,0.5,,,,26.5123654,93.9715725,"assam, Assam, India",True
1541,"Ground Water At Noonmati Guwahati, Assam",Groundwater,ASSAM,2020,Safe,7.49,,26.5,,7.15,292.0,1.35,0.7,,,,26.1979372,91.7998576,"noonmati guwahati assam, Assam, India",True
1542,"Ground Water At Sijubari Mazar, Natboma Hatigaon",Groundwater,ASSAM,2020,Safe,9.43,,28.0,,7.1,283.5,1.7,0.7,,,,26.1295619,91.767685,"natboma hatigaon, Assam, India",True
2243,"Ground Water From Ledo, Margherita, Assam",Groundwater,ASSAM,2020,Safe,9.43,,25.0,,7.1,302.5,1.7,0.7,,,,27.2945211,95.73688,"ledo margherita assam, Assam, India",True
2244,"Ground Water From Nazira, Assam",Groundwater,ASSAM,2020,Safe,8.32,,27.0,,7.0,289.0,1.5,0.75,,,,26.8622087,94.7183167,"nazira assam, Assam, India",True
2245,"Ground Water From Numaligarh (Near Nrl Te Labor Colony), Assam",Groundwater,ASSAM,2020,Safe,8.05,,26.5,,7.0,254.5,1.45,0.7,,,,26.7472242,94.2480731,"colony assam, Assam, India",True
2246,"Ground Water From Semenchapari, Assam",Groundwater,ASSAM,2020,Safe,9.43,,24.0,,7.15,266.5,1.7,0.5,,,,26.5123654,93.9715725,"assam, Assam, India",True
2247,"Ground Water From Silapathar, Assam",Groundwater,ASSAM,2020,Safe,8.32,,24.0,,7.1,224.5,1.5,0.5,,,,27.5893833,94.7255857,"silapathar assam, Assam, India",True
2248,"Ground Water From Lakhimpur Town, Assam",Groundwater,ASSAM,2020,Safe,8.05,,28.0,,7.35,198.5,1.45,0.55,,,,27.236211,94.1038765,"lakhimpur town assam, Assam, India",True
2249,"Ground Water From Tezpur (Mission Chariali), Assam",Groundwater,ASSAM,2020,Safe,8.32,,28.0,,7.05,259.5,1.5,0.55,,,,26.352039,92.6906592,"mission chariali assam, Assam, India",True
2250,"Ground Water From Nagaon (Panigaon), Assam",Groundwater,ASSAM,2020,Safe,8.6,,28.5,,7.05,260.0,1.55,0.75,,,,26.3480551,92.698018,"nagaon panigaon assam, Assam, India",True
2251,"Ground Water From Jagiroad Near Hpc Effluent Discharge Point, Assam",Groundwater,ASSAM,2020,Safe,10.27,,28.0,,7.15,309.5,1.85,0.85,,,,26.5123654,93.9715725,"assam, Assam, India",True
2252,"Ground Water Near Msw Dumping Site At Garchuk- Guwahati, Assam",Groundwater,ASSAM,2020,Safe,9.16,,27.5,,7.2,342.5,1.65,0.8,,,,26.11114,91.6853199,"garchuk guwahati assam, Assam, India",True
2253,"Ground Water From Nalbari, Assam",Groundwater,ASSAM,2020,Safe,7.21,,29.5,,7.4,211.5,1.3,0.6,,,,26.3533632,91.3983662,"nalbari assam, Assam, India",True
2254,"Ground Water From Barpeta Road(Rly Station), Assam",Groundwater,ASSAM,2020,Safe,10.82,,27.5,,7.3,326.0,1.95,0.7,,,,26.5021259,90.9645713,"barpeta station assam, Assam, India",True
2255,"Ground Water Near Bprl, Dhaligaon, Assam",Groundwater,ASSAM,2020,Safe,8.05,,29.0,,7.25,261.5,1.45,0.6,,,,26.4958001,90.5226391,"dhaligaon assam, Assam, India",True
2256,"Ground Water From Kokrajhar District (Hs School ), Assam",Groundwater,ASSAM,2020,Safe,8.05,,28.0,,7.35,273.5,1.45,0.65,,,,26.427529,90.2825461,"kokrajhar district assam, Assam, India",True
2257,"Ground Water From Dhubri District (College Nagar ), Assam",Groundwater,ASSAM,2020,Safe,10.54,,34.0,,6.8,209.0,1.9,0.7,,,,26.7503197,94.1821094,"district nagar assam, Assam, India",True
2259,"Ground Water From Diphu (Govt. College), Assam",Groundwater,ASSAM,2020,Safe,8.32,,24.0,,7.5,119.0,1.5,0.6,,,,25.8417143,93.4255332,"diphu govt. assam, Assam, India",True
2260,"Ground Water From Hamren, Assam",Groundwater,ASSAM,2020,Safe,9.43,,26.0,,6.8,157.0,1.7,0.7,,,,25.8449919,92.5748777,"hamren assam, Assam, India",True
2261,"Ground Water From Haflong, Assam",Groundwater,ASSAM,2020,Safe,8.88,,20.0,,7.0,120.0,1.6,0.5,,,,25.1823559,93.0158028,"haflong assam, Assam, India",True
2262,"Ground Water From Karimganj (College), Assam",Groundwater,ASSAM,2020,Safe,8.32,,24.0,,7.05,132.0,1.5,0.75,,,,24.5828196,92.3725487,"karimganj assam, Assam, India",True
2263,"Ground Water From Hialakandi (Near Astc Bus Stand ), Assam",Groundwater,ASSAM,2020,Safe,8.6,,24.0,,6.8,191.0,1.55,0.6,,,,26.4975191,90.969302,"astc stand assam, Assam, India",True
2264,"Ground Water In Panchgram Market Near Cachar Paper Mill, Assam",Groundwater,ASSAM,2020,Safe,9.71,,23.5,,6.9,248.5,1.75,0.65,,,,26.1692384,91.7598512,"mill assam, Assam, India",True
3761,Ground Water From Biswanath Chariali Town,Groundwater,ASSAM,2020,Safe,8.05,,28.0,,7.4,207.5,1.45,0.5,,,,26.7203673,93.1428974,"chariali town, Assam, India",True
3762,"Ground Water Near Municipal Waste Processing Facility, Morabharli, Tezpur",Groundwater,ASSAM,2020,Safe,8.05,,29.0,,7.45,235.5,1.45,0.65,,,,26.6229928,92.7976082,"tezpur, Assam, India",True
3766,Ground Water From Mangaldoi Town,Groundwater,ASSAM,2020,Safe,8.05,,28.0,,7.35,222.5,1.45,0.7,,,,26.436303,92.0306569,"mangaldoi town, Assam, India",True
3770,"Ground Water Near Garmur Recreation Ground, Jorhat",Groundwater,ASSAM,2020,Safe,7.21,,25.5,,6.9,233.0,1.3,1.2,,,,26.7323339,94.2237231,"ground jorhat, Assam, India",True
3771,"Ground Water From Titabar Urban Water Supply, Titabar",Groundwater,ASSAM,2020,Safe,9.71,,25.5,,7.8,354.5,1.75,1.05,,,,26.6025309,94.2012161,"titabar, Assam, India",True
3779,"Ground Water From Garmur, Majuli",Groundwater,ASSAM,2020,Safe,7.21,,25.0,,7.2,223.0,1.3,0.5,,,,27.0219529,94.327423,"majuli, Assam, India",True
3790,"Ground Water Near Gogamukh Public Water Supply Scheme, Gogamukh, Dhemaji",Groundwater,ASSAM,2020,Safe,7.77,,25.0,,7.0,188.0,1.4,0.6,,,,27.4320635,94.3780749,"gogamukh dhemaji, Assam, India",True
3793,"Tube Well At R/O Sri Tankeswar Das, Rupjyoti Colony (Nagabali) Municipality Dumping Site, Golaghat",Groundwater,ASSAM,2020,Safe,8.05,,26.0,,6.95,248.0,1.45,0.6,,,,26.5108262,93.9743686,"golaghat, Assam, India",True
3794,"Tube Well At R/O Sri Anil Baora At Bosagaon Near By The Athkhalia, Namghar, Po: Pulikaitoni",Groundwater,ASSAM,2020,Safe,8.6,,25.0,,7.15,267.0,1.55,0.65,,,,,,"tube well r/o sri anil baora bosagaon by the athkhalia namghar po: pulikaitoni, Assam, India",False
3795,"Tube Well Of Wokha Goronga Girls Me School, Gorounga Tiniali, Furkating",Groundwater,ASSAM,2020,Safe,6.94,,25.0,,7.15,219.0,1.25,0.65,,,,26.4636617,94.0025555,"furkating, Assam, India",True
3801,"Ground Water From Mehepur Trenching Ground, Meherpur, Cachar",Groundwater,ASSAM,2020,Safe,8.32,,23.5,,6.8,324.0,1.5,0.55,,,,24.8006239,92.7920328,"meherpur cachar, Assam, India",True
3802,"Ground Water From Mehepur Near A Cluster Of Nursing Home & Diagnostic Centre, Meherpur, Cachar",Groundwater,ASSAM,2020,Safe,8.6,,24.0,,6.85,230.5,1.55,0.65,,,,24.7935332,92.7916093,"centre meherpur cachar, Assam, India",True
3805,"Ground Water Near Badarpur Industrial Area At Badarpur Ghat, Karimganj",Groundwater,ASSAM,2020,Safe,8.88,,24.0,,6.85,130.0,1.6,0.8,,,,24.5805879,92.2956073,"ghat karimganj, Assam, India",True
3813,"Ground Water From Bonda, Guwahati",Groundwater,ASSAM,2020,Safe,8.6,,27.5,,7.1,313.0,1.55,0.8,,,,26.1805978,91.753943,"guwahati, Assam, India",True
3815,"Ground Water From Khanapara, Guwahati",Groundwater,ASSAM,2020,Safe,8.6,,28.0,,6.95,242.0,1.55,0.7,,,,26.1733724,91.7594521,"khanapara guwahati, Assam, India",True
3816,"Ground Water From Basistha, Guwahati",Groundwater,ASSAM,2020,Safe,8.05,,27.5,,7.2,233.0,1.45,0.7,,,,26.0945317,91.7853471,"basistha guwahati, Assam, India",True
3817,"Ground Water From Kahilipara, Guwahati",Groundwater,ASSAM,2020,Safe,8.32,,28.5,,7.25,302.5,1.5,0.7,,,,26.1805978,91.753943,"guwahati, Assam, India",True
3818,"Ground Water From Maligaon, Guwahati",Groundwater,ASSAM,2020,Safe,7.77,,29.0,,7.4,230.0,1.4,0.6,,,,26.142124,91.7263181,"maligaon guwahati, Assam, India",True
4001,Ground Water From Panjabari,Groundwater,ASSAM,2020,Safe,8.32,,30.0,,7.4,213.0,1.5,0.6,,,,26.1316998,91.8083049,"panjabari, Assam, India",True
4002,Ground Water From Santipur,Groundwater,ASSAM,2020,Safe,8.6,,29.0,,7.25,224.0,1.55,0.55,,,,26.5158252,93.9664776,"santipur, Assam, India",True
4003,Ground Water From Tezpur Collegiate High School,Groundwater,ASSAM,2020,Safe,7.21,,29.0,,7.25,235.5,1.3,0.4,,,,26.509785,93.9716885,"high, Assam, India",True
4007,Ground Water From Lakwah,Groundwater,ASSAM,2020,Safe,7.49,,25.0,,7.1,278.0,1.35,0.65,,,,,,"ground from lakwah, Assam, India",False
4008,Ground Water From Geleky,Groundwater,ASSAM,2020,Safe,7.77,,22.0,,7.15,272.0,1.4,0.7,,,,,,,False
4303,Ground Water From Satgaon,Groundwater,ASSAM,2020,Safe,8.88,,27.0,,7.2,66.0,1.6,0.5,,,,26.158949,91.8385701,"satgaon, Assam, India",True
4327,"Ground Water From Railway Station Road, Rowta",Groundwater,ASSAM,2020,Safe,8.32,,26.0,,7.2,57.0,1.5,0.6,,,,26.7373464,92.215175,"railway station rowta, Assam, India",True
4328,"Ground Water Beside Msw Dumping Site, Dhekiajuli",Groundwater,ASSAM,2020,Safe,9.99,,26.0,,7.2,57.0,1.8,0.6,,,,26.7301754,92.4785068,"dhekiajuli, Assam, India",True
