water_body_type,stn_code,monitoring_location,years,lat,lon
River,2771,Bhadra U/S Of Kiocl,"2016,2017,2019,2020,2021,2022",13.2097914,75.2503201
River,2772,"Lakshmantirtha At D/S Of Kattemalavadi,","2017,2019,2020,2021,2022",12.3518289,76.2890432
River,2773,Cauvery At Bannur Bridge,"2016,2017,2019,2020,2021,2022",12.3053048,76.6959064
River,2774,Cauvery At Ranganathittu,"2016,2017,2019,2020,2021,2022",12.4280703,76.653645
River,2777,Kagina At Shahabad Bridge,"2016,2017,2019,2020,2021,2022",17.220367,77.3708457
River,2778,"Arkavathi At T.G. Halli Reservoir, ,","2019,2020,2021",12.9392713,77.5722595
River,2779,"Arkavathi At Hesaraghatta Reservoir,","2019,2020,2021",12.9392713,77.5722595
River,2780,"Kali U/S Of Wcpm, Dandeli","2016,2018,2019,2020,2021,2022",15.2490284,74.6236037
River,2781,Krishna D/S Of Alamatti Dam,"2016,2017,2019,2020,2021,2022",16.3451718,75.8923516
River,3015,Cauvery D/S Of Maddur Water Supply Treatment Plant At Bachalli,2017,12.6720777,75.7562095
River,3558,Dadesugur Bridge Gauging Station,"2016,2021,2022",12.4235961,76.683307
River,3562,Thumbe Water Supply Stations To Mangalore City,"2016,2018,2019,2020,2021,2022",13.0222347,77.5671832
River,3563,U/S Of Upiingady Town,"2016,2018,2019,2020,2021,2022",13.1016788,77.5756532
River,3566,Krs Dam Mandya,"2016,2019,2020,2021,2022",12.4241993,76.572052
River,3567,D/S Shimsha Near Madduar Town,"2016,2019,2020,2021,2022",13.1016788,77.5756532
River,3568,Water Supply Intake Point To Srirangapatna Town,"2016,2019,2021,2022",13.1016788,77.5756532
River,3569,Water Supply Intake Point To Mandya Town,"2016,2019,2021,2022",13.1016788,77.5756532
River,3570,D/S Of Kr Nagar Bridge,"2016,2019,2020,2021,2022",12.9549835,77.6532944
River,3571,U/S Of Kr Nagar,"2016,2019,2020,2021,2022",12.9549835,77.6532944
River,3572,Water Supply Intake Point To Hunsur Town,"2016,2019,2021,2022",13.1016788,77.5756532
River,3573,D/S Of Kushalanagar Town,"2016,2019,2020,2021,2022",12.4585525,75.961437
River,3574,Water Supply Intake Point To Madikeri Town,"2016,2021",13.1016788,77.5756532
River,3576,Water Supply Intake Point To Mysore Pump House,"2016,2017,2019,2021,2022",12.9630135,77.7177141
River,3577,Water Supply Intake Point To T Narasipura,"2016,2021,2022",12.2134628,76.9027763
River,3578,D/S Of Cauvery Maddur Water Supply Treatment Plant At Bachalli,"2016,2017,2019,2021,2022",12.6720777,75.7562095
River,3579,Water Supply Intake Point At Kollegala Dasanapura,"2016,2017,2019,2021,2022",12.7467724,77.7742876
River,3581,Water Supply Intake Point At T K Halli,"2016,2017,2019,2021,2022",14.4451753,75.9186182
River,4087,"River Gangavali River, Nr Bridge, Ankola",2020,14.6453588,74.3319253
River,4088,"River Aghanashini River, Nr Bridge, Kumata",2020,14.4271622,74.4117058
River,4090,River Sharavathi Nr Bridge At Honnavara,2020,14.2810827,74.4446716
River,4099,"Cauvery River D/S Barachuki Falls, Sathegala, Kollegala","2019,2021,2022",12.170079,77.1462741
River,4100,"River Suvaranvathi Reservoir, Attigullipura Chamarajanagar",2021,11.9544201,77.1069086
River,4101,"River Gundal At Gundal Reservoir, Kollegala Tq & Chamarajanagara Dist",2021,12.5947183,75.4415106
River,4102,D/S Of Cauvery At Bhagamandala Bridge,"2020,2021,2022",12.3813118,75.5157832
River,4103,"River Cauvery D/S At Kanive Ramalingeswara Temple Bridge, Kushalnagar","2021,2022",12.4585525,75.961437
River,4104,River Ghatprabha Davalshwar Barrage Jackwell For Drinking Water Supply,2022,12.0093072,76.4070907
River,4107,"River Dakshina Pinakini Near Mugalur Bridge Mugalur, Bengaluru",2021,12.9767936,77.590082
River,4108,River Akravathi Before Confluence At Sangam,"2021,2022",13.0059246,77.5789838
River,4109,Cauvery River Before Confluence At Sangam,"2019,2020,2021,2022",13.0059246,77.5789838
River,4494,River Tungabhadra At Mylara,"2021,2022",12.9746645,77.5324339
River,4497,Kengre Hole (Sirsi),"2019,2020",14.6192362,74.8388611
River,4499,"Benniothora Dam, Kurkota Village","2019,2020",12.9305838,77.6920571
River,30051,River Godavari At Baser(Bangalore),"2021,2022",12.9767936,77.590082
River,30052,Cauvery At Ajjibore (Bangalore),"2019,2021,2022",12.9767936,77.590082
River,30054,River Tungabhadra At Hochechalli (Bangalore),"2021,2022",12.9767936,77.590082
River,30055,River Manjeera At Janwada(Bangalore),"2021,2022",12.9767936,77.590082
River,30056,River Krishna At Deodurga (Bangalore),"2021,2022",12.9767936,77.590082
River,30057,River Bhima At Gangapur (Bangalore),"2021,2022",12.9767936,77.590082
