stn_code,monitoring_location,latitude,longitude,2016,2017,2018,2019,2020,2021,2022
1196,"River Lakshmantirtha At D/S Of Hunsur Town,",13.1016788,77.5756532,,,,,,River,
1197,Kabbani D/S Saragur Village,12.9422696,77.6253883,Canal,,,,,,
1197,"Kabini At Saragur Village D/S,",12.9422696,77.6253883,,Canal,,River,River,,
1197,River Kabini At Saragur Village D/S,12.9305838,77.6920571,,,,,,,River
1197,"River Kabini At Saragur Village D/S,",12.9305838,77.6920571,,,,,,River,
1199,Hemavati At D/S Of Holenarasipura Town At Ramadevala Weir,13.4143895,74.7645804,,Canal,,River,,,
1199,Hemavati D/S Of Holenarasipura Town At Ramadevala Weir,13.4143895,74.7645804,Canal,,,,,,
1199,River Hemavathi At D/S Of Holenarasipura Town At Ramadev Weir,13.4143896,74.7645804,,,,,,,River
1199,River Hemavati At D/S Of Holenarasipura Town At Ramadevala Weir,13.4143896,74.7645804,,,,,,River,
1200,"River Shimsha At D/S Of Highway Bridge, Yediyur",13.1312237,77.6957681,,,,,,,River
1320,Cauvery At Water Supply Intake Point To Madikeri Town,13.1016788,77.5756532,,River,,,,,
1322,Cauvery U/S Of Kr Nagar,12.9730088,77.5804711,,River,,,,,
1323,Cauvery At Water Supply Intake Point To Mysore Pump House,12.9630135,77.7177141,,River,,,,,
1324,Cauvery At Water Supply Intake Point At Kollegala Dasanapura,12.7467724,77.7742876,,River,,,,,
1386,Cauvery At D/S Of Karekuara Village,12.9305838,77.6920571,,,,,River,,
1386,"Cauvery At D/S Of Karekuara Village,",12.9422696,77.6253883,,River,,River,,,
1386,Cauvery D/S Of Karekuara Village,12.9422696,77.6253883,River,,,,,,
1386,River Cauvery At D/S Of Karekuara Village,12.9305838,77.6920571,,,,,,,River
1386,"River Cauvery At D/S Of Karekuara Village,",12.9305838,77.6920571,,,,,,River,
1387,Bhadra At D/S Of Bhadravathi,13.8363715,75.6447514,,,,,River,,
1387,"Bhadra At D/S Of Bhadravathi,",13.8363715,75.6447514,,River,,River,,,
1387,Bhadra D/S Of Bhadravathi,13.8363715,75.6447514,River,,,,,,
1387,River Bhadra At D/S Of Bhadravathi,13.8363715,75.6447514,,,,,,,River
1387,"River Bhadra At D/S Of Bhadravathi,",13.8363715,75.6447514,,,,,,River,
1444,"Kali At D/S West Coast Paper Mill, Karnataka",13.0222347,77.5671832,,,River,,,,
1444,Kali D/S West Coast Paper Mill,13.102259,77.5769737,River,,,,,,
1445,Kabbani At Water Intake Of Kiadb At Nanjangud,12.1220681,76.6843409,Canal,,,,,,
1445,Kabini At Water Intake Of Kiadb At Nanjangud,12.1220681,76.6843409,,,,,River,,
1445,"Kabini At Water Intake Of Kiadb At Nanjangud,",12.1220681,76.6843409,,Canal,,River,,,
1445,River Kabini At Water Intake Of Kiadb At Nanjangud,12.1220681,76.6843409,,,,,,,River
1445,"River Kabini At Water Intake Of Kiadb At Nanjangud,",12.1220681,76.6843409,,,,,,River,
1451,Cauvery At Water Supply Intake Point At T K Halli,17.8401056,76.8684901,,River,,,,,
1888,Bhima At Confluence Of Jewargi Town Sewage Disposal Point,13.3067379,77.6125389,River,,,,,,
1888,Bhima River At Confluence Of Jewargi Town Sewage Disposal Point,13.3067379,77.6125389,,River,,River,,,
1888,River Bhima At Confluence Of Jewargi Town Sewage Disposal Point,13.3067379,77.6125389,,,,,,River,River
1889,Krishna - Ankali Bridge Along Chikkodi Kagwad Road,16.6960786,74.7187223,River,,,River,,,
1889,Krishna Ankali Bridge Along Chikkodi Kagwad Road,16.6960786,74.7187223,,River,,,,,
1889,River Krishna - Ankali Bridge Along Chikkodi Kagwad Road,16.6960786,74.7187223,,,,,,River,River
1891,River Manjeera At D/S In Intake Point To Bidar City,13.0222347,77.5671832,,,,,,River,
1891,River Manjeera At D/S Intake Point To Bidar City,13.0222347,77.5671832,,,,,,,River
1892,Netravathi U/S Of Dharmastala At Water Supply Intake Point,12.9519571,75.3813122,Canal,,,River,,,
1892,River Netravathi U/S Of Dharmastala At Water Supply Intake Point,12.9519571,75.3813122,,,,,River,River,River
1893,"River Yagachi Near Pumping Station, Hassan City",13.0222347,77.5671832,,,,,,,River
1893,River Yagachi Near Pumping Station. Hassan City,13.0222347,77.5671832,,,,,,River,
1893,Yagachi Near Pumping Station. Hassan City,13.0222347,77.5671832,Canal,,,,,,
1893,Yagachi River Near Pumping Station. Hassan City,13.0222347,77.5671832,,,,River,,,
1894,Kumaradhara - U/S Of Uppinagady Town Before Confluence With River Nethravathi,13.0898321,77.5424946,,,,River,,,
1894,River Kumaradhara - U/S Of Uppinagady Town Before Confluence With Nethravathi,13.0898321,77.5424946,,,,,River,River,
1894,River Kumaradhara U/S Of Uppinagady Town Before Confluence With Nethravathi,13.0898321,77.5424946,,,,,,,River
1895,Kagina D/S Of Sewage Disposal Point,13.3067379,77.6125389,River,,,River,River,,
1895,River Kagina D/S Of Sewage Disposal Point,13.3067379,77.6125389,,,,,,River,River
1896,Confluence Point Of Tunga And Bhadra At Kudli,18.1124192,77.3351885,River,,,,,,
1896,River Tungabhadra At Confluence Point Of Tunga And Bhadra At Kudli,18.1124192,77.3351885,,,,,,River,River
1896,Tungabhadra At Confluence Point Of Tunga And Bhadra At Kudli,18.1124192,77.3351885,,River,,River,,,
2763,Asangi Nalla At Asangi Village,12.9422696,77.6253883,River,,,,,,
2763,"Asangi Nalla At Asangi Village,",12.9422696,77.6253883,,River,,,,,
2763,River Krishna At Asangi Village (Jamakandi Village),12.9305838,77.6920571,,,,,,,River
2764,Malprabha At Badami Bridge,15.9203874,75.6807865,River,,,,,,
2764,"Malprabha At Badami Bridge,",15.9203874,75.6807865,,River,,River,River,,
2764,River Malaprabha At Badami Bridge,15.9203874,75.6807865,,,,,,,River
2764,"River Malprabha At Badami Bridge,",15.9203874,75.6807865,,,,,,River,
2765,Bhadra At U/S Of Mpm,13.4893942,75.5273902,,,,,River,,
2765,"Bhadra At U/S Of Mpm,",13.4893942,75.5273902,,River,,River,,,
2765,"Bhadra U/S Of Mpm,",13.4893942,75.5273902,River,,,,,,
2765,River Bhadra At U/S Of Mpm,13.4893942,75.5273902,,,,,,,River
2765,"River Bhadra At U/S Of Mpm,",13.4893942,75.5273902,,,,,,River,
2766,River Tungabhadra At New Bridge,15.9648343,77.366508,,,,,,,River
2766,"River Tungabhadra At New Bridge,",15.9648343,77.366508,,,,,,River,
2766,Tungabhadra At Honnali Bridge,14.2389785,75.6457434,,River,,,,,
2766,Tungabhadra At New Bridge,15.9648343,77.366508,River,,,,River,,
2766,"Tungabhadra At New Bridge,",15.9648343,77.366508,,River,,River,,,
2767,River Tungabhadra At U/S Of Harihar Polyfibers,14.5313765,75.7863641,,,,,,,River
2767,"River Tungabhadra At U/S Of Hpf,",15.9648343,77.366508,,,,,,River,
2767,Tungabhadra At U/S Of Hpf,15.9648343,77.366508,,,,,River,,
2767,"Tungabhadra At U/S Of Hpf,",15.9648343,77.366508,,River,,River,,,
2767,Tungabhadra U/S Of Hpf,15.9648343,77.366508,River,,,,,,
2768,River Tungabhadra At D/S Of Harihar Polyfibers,14.5313765,75.7863641,,,,,,,River
2768,"River Tungabhadra At D/S Of Hpf,",15.9648343,77.366508,,,,,,River,
2768,Tungabhadra At D/S Of Hpf,15.9648343,77.366508,,,,,River,,
2768,"Tungabhadra At D/S Of Hpf,",15.9648343,77.366508,,River,,River,,,
2768,Tungabhadra D/S Of Hpf,15.9648343,77.366508,River,,,,,,
2769,River Tungabhadra At Jackwell Point,15.9648343,77.366508,,,,,,,River
2769,"River Tungabhadra At Jackwell Point,",15.9648343,77.366508,,,,,,River,
2769,Tungabhadra At Jackwell Point,15.9648343,77.366508,River,,,,River,,
2769,"Tungabhadra At Jackwell Point,",15.9648343,77.366508,,River,,River,,,
2770,River Tungabhadra At Harihar Water Supply Intake,14.5116874,75.809288,,,,,,,River
2770,"River Tungabhadra At Harihar Water Supply Intake,",14.5116874,75.809288,,,,,,River,
2770,Tungabhadra At Harihar Water Supply Intake,14.5116874,75.809288,River,,,,River,,
2770,"Tungabhadra At Harihar Water Supply Intake,",14.5116874,75.809288,,River,,River,,,
2771,Bhadra At U/S Of Kiocl,13.2097914,75.2503201,,,,,River,,
2771,"Bhadra At U/S Of Kiocl,",13.2097914,75.2503201,,River,,River,,,
2771,Bhadra U/S Of Kiocl,13.2097914,75.2503201,River,,,,,,
2771,River Bhadra At U/S Of Kiocl,13.2097914,75.2503201,,,,,,,River
2771,"River Bhadra At U/S Of Kiocl,",13.2097914,75.2503201,,,,,,River,
2772,"Lakshmantirtha At D/S Of Kattemalavadi,",12.3518289,76.2890432,,River,,River,River,,
2772,Lakshmantirtha D/S Of Kattemalavadi,12.3518289,76.2890432,Canal,,,,,,
2772,River Lakshmantirtha At D/S Of Kattemalavadi,12.3518289,76.2890432,,,,,,River,River
2773,Cauvery At Bannur Bridge,12.3053048,76.6959064,River,,,,River,,
2773,"Cauvery At Bannur Bridge,",12.3053048,76.6959064,,River,,River,,,
2773,River Cauvery At Bannur Bridge,12.3053048,76.6959064,,,,,,,River
2773,"River Cauvery At Bannur Bridge,",12.3053048,76.6959064,,,,,,River,
2774,Cauvery At Ranganathittu,12.4280703,76.653645,River,,,,River,,
2774,"Cauvery At Ranganathittu,",12.4280703,76.653645,,River,,River,,,
2774,River Cauvery At Ranganathittu,12.4280703,76.653645,,,,,,,River
2774,"River Cauvery At Ranganathittu,",12.4280703,76.653645,,,,,,River,
2777,Kagina At Shahabad Bridge,17.220367,77.3708457,River,,,,River,,
2777,"Kagina At Shahabad Bridge,",17.220367,77.3708457,,River,,River,,,
2777,Kagina D/S Of Sewage Disposal Point,13.3067379,77.6125389,,River,,,,,
2777,River Kagina At Shahabad Bridge,17.220367,77.3708457,,,,,,,River
2777,"River Kagina At Shahabad Bridge,",17.220367,77.3708457,,,,,,River,
2778,Arkavathi At T.G. Halli Reservoir,12.9392713,77.5722595,Canal,,,,River,,
2778,"Arkavathi At T.G. Halli Reservoir, ,",12.9392713,77.5722595,,Canal,,River,,,
2778,"River Arkavathi At T.G. Halli Reservoir,",12.9392713,77.5722595,,,,,,River,
2779,"Arkavathi At Hesaraghatta Reservoir,",12.9392713,77.5722595,,,,River,River,,
2779,"River Arkavathi At Hesaraghatta Reservoir,",12.9392713,77.5722595,,,,,,River,
2780,"Kali At U/S Of Wcpm, Dandeli,",15.2490284,74.6236037,,,,River,,,
2780,"Kali At U/S Of Wcpm, Dandeli, Karnataka",13.0222347,77.5671832,,,River,,,,
2780,"Kali U/S Of Wcpm, Dandeli",15.2490284,74.6236037,River,,,,,,
2780,"River Kali At U/S Of Wcpm, Dandeli",15.2490284,74.6236037,,,,,,,River
2780,"River Kali At U/S Of Wcpm, Dandeli,",15.2490284,74.6236037,,,,,River,River,
2781,"Krishna At D/S Of Alamatti Dam,",16.3451718,75.8923516,,River,,River,River,,
2781,Krishna D/S Of Alamatti Dam,16.3451718,75.8923516,River,,,,,,
2781,River Krishna At D/S Of Alamatti Dam,16.3451718,75.8923516,,,,,,,River
2781,"River Krishna At D/S Of Alamatti Dam,",16.3451718,75.8923516,,,,,,River,
3015,Cauvery D/S Of Maddur Water Supply Treatment Plant At Bachalli,12.6720777,75.7562095,,River,,,,,
3558,Dadesugur Bridge Gauging Station,12.4235961,76.683307,River,,,,,,
3558,River Tungabhadra At Dadesugur Bridge Gauging Station,12.4235961,76.683307,,,,,,River,River
3562,Netravathi At Thumbe Water Supply Stations To Mangalore City,13.0222347,77.5671832,,,,River,,,
3562,River Netravathi At Thumbe Water Supply Stations To Mangalore City,13.0222347,77.5671832,,,,,River,River,River
3562,Thumbe Water Supply Stations To Mangalore City,13.0222347,77.5671832,River,,River,,,,
3563,Netravathi At U/S Of Upiingady Town,13.1016788,77.5756532,,,,River,,,
3563,River Netravathi At U/S Of Upiingady Town,13.1016788,77.5756532,,,,,River,River,
3563,River Netravathi At U/S Of Uppinangadi Town,13.1016788,77.5756532,,,,,,,River
3563,U/S Of Upiingady Town,13.1016788,77.5756532,River,,River,,,,
3566,Cauvery At Krs Dam Mandya,12.6368939,76.7275477,,,,River,River,,
3566,Krs Dam Mandya,12.4241993,76.572052,River,,,,,,
3566,River Cauvery At Krs Dam Mandya,12.6368939,76.7275477,,,,,,River,River
3567,D/S Shimsha Near Madduar Town,13.1016788,77.5756532,River,,,,,,
3567,River Shimsha D/S Near Madduar Town,13.1016788,77.5756532,,,,,,River,River
3567,Shimsha D/S Near Madduar Town,13.1016788,77.5756532,,Canal,,River,River,,
3568,Cauvery At Water Supply Intake Point To Srirangapatna Town,13.1016788,77.5756532,,,,River,,,
3568,River Cauvery At Water Supply Intake Point To Srirangapatna,12.4226442,76.6849312,,,,,,,River
3568,River Cauvery At Water Supply Intake Point To Srirangapatna Town,13.1016788,77.5756532,,,,,,River,
3568,Water Supply Intake Point To Srirangapatna Town,13.1016788,77.5756532,River,,,,,,
3569,Cauvery At Water Supply Intake Point To Mandya Town,13.1016788,77.5756532,,,,River,,,
3569,River Cauvery At Water Supply Intake Point To Mandya Town,13.1016788,77.5756532,,,,,,River,River
3569,Water Supply Intake Point To Mandya Town,13.1016788,77.5756532,River,,,,,,
3570,Cauvery D/S Of Kr Nagar Bridge,12.9730088,77.5804711,,,,River,River,,
3570,D/S Of Kr Nagar Bridge,12.9549835,77.6532944,River,,,,,,
3570,River Cauvery D/S Of Kr Nagar Bridge,12.9730088,77.5804711,,,,,,River,River
3571,Cauvery U/S Of Kr Nagar,12.9730088,77.5804711,,,,River,River,,
3571,River Cauvery U/S Of Kr Nagar,12.9730088,77.5804711,,,,,,River,River
3571,U/S Of Kr Nagar,12.9549835,77.6532944,River,,,,,,
