monitoring_location,stn_code
"Bore Well Near Msw Dump Yard, Medak Town Medak District",4260
"Bore Well At M/S Shalini Steels Ltd, Ida Bollaram, Jinnaram Mandal, Sangareddy District",4261
"Borewell Near Grampanchyat Office, Kistaipally Village Jinnarm Mandal, Sangareddy District",4262
"Borewell Near Mpp School Gaddapotharam Village, Jinnaram Mandal, Sangareddy District",4263
Bore Well Water Point At Zp Girls High School Bhudam Pochampally (V & M) Yadadri District,4264
"B/W At Gram Panchayath Office, Dothigudam",4265
"Borewell Near Primary School, Adloor Yellareddy (N) Sadashivanagar (M) Kamareddy Dist",4266
"Borewell Located At House Of Sri Vital Rao, H.No. 2-42 875, Abestos Colony, Gandhi Nagar, Balanagar, Medchal District",4268
"Borewell Located At House Of Sri P Nekatesh Raju, Plot No 115,22 321, Apiic, Co- [Perative Conony, Jeedimetla, Quthbullapur (M) Medchal District",4269
"Borewell Located At House Of P. Anjaneyulu, Plot No,25,",4270
"Borewell Located At Government Primary School, Sy. No 32 Dhulapally (V) Quthbullapur (M) Medchal District.",4271
"Borewell Located At Rahiv Gruha Ka;Pa, Ahmedguda, Ambedkar Nagar, Kapra Medchal District.",4272
Borewell Located At Thanda Dundigal (V) Dhundigal (M) Medchal District,4273
"Borewell Points At The Periphery Of The Ida, Jeedimetla",4274
Borewell Points At The Periphery Of The Isa Balanagar,4275
"Borewell Near Gram Panchayat Office, Khazipally Village, Sangareddy Distrist",4276
"B/W At Aurobindo, Hatnur, Sangareddy",4278
"B/W Near M/S Arch Pharma, Gundla Machanur, Sangareddy",4279
"B,W At Ids Rampur, Hanamkonda, Warangal",4280
B/W Near Bhimanpalli Village (Open Land ) Pochampally Mandal,4281
"B/W Near Aarla Bavi (Agricultural Field), Pochampally Mandal",4282
"B/W Near Dantur (Open Land), Pochampally Mandal",4283
"B/W Near Malkapur Lake, Malkapur Village (Agricultural Field) Choutuppa; Mandal",4284
"B/W Near Peddakondur Village (Agricultural Field), Choutuppal Mandal",4285
B/W Near Ankireddigudam Village (Agrucultural Field) Choutuppal Mandal,4286
B/W Near Lingareddygudam Village (Beside Choutuppal- Valigonda Road) Choutuppal Mandal,4287
"B/W Near Nagaram Cheruvu, Devalamma Nagaram Village",4288
B/W Near Pittam Palle Village (Open Land Beside Village Road) Chityal Mandal,4289
B/W Near Pittam Peddakaparthi Vikkage (Open Land Beside Village Road) Chityal Mandal,4290
"Saroornagar , Ranga Reddy Dist.",1788
"Laxminarayana Cheruvu At Edulabad, Rangareddy",2340
"Banjara Lake, Banjara Hills, Ranga Reddy",3074
Neknampur Lake,4229
"Umda Sagar Lake, Shamshabad",4234
Lake Kamuni ( Shamshabad Lake),4235
"Surram Cheruvu (Palle Cheruvu), Bandlaguda (V), Bandlaguda (New Mandal)",4667
"Chinnarayan Cheruvu, Alwal (V)",4668
"Pedda Cheruvu, Gangaram (V) Serlingampally (New Mandal)",4669
"Medi Kunta (Wipro Lake), Nanakramguda",4672
"Meedi Kunta (Bk Enclave Lake), Maqta Mahboobpet, (Madeenaguda)",4673
"Meedi Kunta, Hafeezpet (V)",4674
"Banda Cheruvu, Malkajigiri (V), Malkajigiri (New Mandal)",4676
"Phakal Cheruvu, Narsampet",4681
"Bandam Cheruvu, Hanamkonda",4682
"Pedda Cheruvu, Madikonda",4683
"Campus Lake, Icrisat",4684
Surisigal Lake Icrisat,4685
"Icrisat Lake, Icrisat",4686
"Red Lake, Icrisat",4687
Narinja Lake,4688
"Banjara Kunta (Singadi Kunta(, Shaikpet",4690
"Nagole Cheruvu, Uppal (V)",4691
"Ramanthapur Cheruvu, Uppal (V)",4692
"Patel Cheruvu, Uppal (V)",4693
"Mundla Katwa, Moosapet (V), Kukatpally",4694
"Khaja Kunta, Kukatpally (V)",4695
