monitoring_location,stn_code
2634,GEN-B75BD2
2635,GEN-ED2779
2636,GEN-C61FBE
2637,GEN-C60D87
2638,GEN-06C284
2640,GEN-9A5748
2645,GEN-A7789E
2646,GEN-F2E43F
2647,GEN-0B7E92
2648,GEN-EB06B9
Himachal Pradesh,"SURAJMUKHI NALLAH U/S DWSS
GALAYANA NEAR M/S SHOOL"
"Beas At D/S Dehragopipur, H.P.",1008
"River Beas D/S Nadaun Bridge, Vill Bhadoli",3855
"River Sirsa , D/S Nalagarh Bridge, H.P",1552
"Tons River, H.P",1510
Ashwani At U/S Yashwant Nagar,2620
Batta At U/S Paonta,2626
Batta Before Confluence To Yamuna,2627
Giri At D/S Yashwant Nagar,2621
Giri At U/S Cci Mines,2622
Pabbar At U/S Dhambari,2617
Pabbar At U/S Rohru,2618
Pabbar At D/S Swarakuddu,2619
"Well At Kala Amb,",1555
Ground Water At Barotiwala,1559
Ground Water At Shimla D/S Of Msw Dumping Site,1872
Ground Water At Dharamshala Kangra D/S Of Msw Dumping Site,1873
Ground Water At Solan-D/S Of Msw Dumping Site Salogra,1874
Ground Water At Baddi Industrial Area,1877
Ground Water At Barotiwala Industrial Area,1878
Ground Water At Nalagarh Industrial Area,1879
Ground Water At Kala Amb Industrial Area,1880
Ground Water At Paonta Sahib Industrial Area,1881
Ground Water At Mehatpur Industrial Area,1882
Ground Water At Una Industrial Area,1883
2633,GEN-FC03D4
Hand Pump At Sansarpur Terrace Ia,2640
Borewell Of Dic Una At Ia Jeetpur Behri,4434
"Infting Water Suply Scheme Samshi, Near Sabji Mandi Bhuntar, Tehsil Kullu, Distt Kullu",4478
Ground Water Supply Scheme (Mc Una),4483
"Pongdam Lake At Pong Village,",1292
"Salani Nallah Near Bridge, Nh-7, Moginand Kala Amb",3861
"Roon Nallah Near Meerpur Kotla, Gurudwara",3865
Surajmukhi Nallah U/S Dwss Galayana Near M/S Shoolini University,3875
"Bhatian Nallah U/S Bhatian Village, Nalagarh",3879
"Bhatian Nallah D/S Sara Textile, Nalagarh",3881
Taalo Nala (From Nahar Town) At Khaddar Ka Bagh B/C To River Markanda,4029
Sahu Nallah U/S Bhuri Singh Shep,4034
Sahu Nallah D/S Bhuri Singh Shep,4035
Raw Water From At Churat Nallah,4425
Lift Nallah Before Confluence To Ashwani Khad Near Dogrha Bridge,4430
Sainj Nallah (U/S Sainj Water Supply Scheme),4462
Dhaneson Nallah (U/S Sainj Water Supply Scheme),4463
"Nallah, Halog Water Supply Scheme Bag Khanerei, Halog",4474
"Machada Nallah, Majhouti Water Supply Scheme New Nirsoo, Majhouti",4475
Manalsu Nala (( Water Supply Scheme For Manali Town U/S Of Old Manali Thesil Manali Dist Kullu,4476
Khalada Nala Water Supply Scheme Kullu Town Tehsil Kullu,4477
Surajmukhi Nallah D/S Stp Samti Solan,4480
Hathli Nallah Lift Water Supply Scheme For Municipal Council Hamirpur,4481
Lift Water Supply Scheme (Panjarar) And Bhota Ropari & Ujhan,4482
Markanda River At Kala Amb U/S (H.P),30008
Alhi River-Nog(Near Water Supply Scheme Intake)Tributary Of River Satluj,4464
Harabagh(Intake From Bbmb Source-Bbmb Adit Harabgh)Wate Spring,4465
"Kunni Pul, Vill Samahu, Po Kunihar, Tehsil Arki",4036
Manjhi Khad U/S Dharamshala Of Khaniyara,4023
Manjhi Khad D/S Dharamshala At Chetru,4024
"Markanda River At Paonta, Distt. Sirmour",1871
Markanda U/S Kala Amb,2624
Markanda River D/S Of Salani Khad,3862
Rampur Jattan Moginand Nala Before Confluence To River Markanda Near Radha Swami Satsang Bhawan,3863
Markanda River D/S Of Moginand Nala,3864
Mol Khad U/S Palampu,4025
Mol Khad D/S Palampu,4026
River Tirthan B/C To River Satluj,4038
River Beas D/S Of Wpf At Manali,4444
River Beas D/S Manalsu Nallah,4037
River Beas D/S Of Wpf At Kullu,4445
