monitoring_location,stn_code
"Damodar At Haldia D/S (2 Km Away From Haldia Town), West Bengal",1335
"D-S Of Rupnarayan At Kolaghat, Near Kolaghat Rail Bridge No.3",2509
Water Intake Point For Suri Town On River Mayurakshi,2534
"Durgapur Town, Burdwan, West Bengal",1768
"Near Ioc Refinery Haldia, West Bengal",1770
"Barsat Municipality North 24-P, West Bengal",1772
"Topsia Calcutta, West Bengal",1774
"Domjur Howrah, West Bengal",1778
Near The Phosphate Company-Rishra,1940
Geokhali Bunglow Midnapur-East,2510
Ground Water At Berhampore,4708
Bore Well Inside M/S United Phosphorous Limited,4712
Tub Well Beside Green Belt Canal Point No.8,4713
Ground Water At Angadpur Angadpur Durgapur,4714
Ground Water At Muchipara Durgapur,4715
"Ground Water At Huralalpur, Purulia",4716
Ground Water At Matigara Bazaar,4721
Ground Water Mirik Dugwell,4726
Ground Water (Dugwell) At Harishpal More,4730
Groundwater At Uttarbanga Krishi Vishwavidyalaya,4731
Groundwater At Ananda Mohan Commerce College,4732
Groundwater At Sukna Forest Range,4733
Ground Water At Shyampur Budge Budge,4737
"Hatishala Ghat On Dudhpukur At Tarakeshwar, Hooghly",2503
"Mainh Ghat On Dudhpukur At Tarakeshwar, Hooghly",2504
"Hanuman Ghat On Dudhpukur At Tarakeshwar, Hooghly",2505
"Mirikh Lake, Darjeeling",2520
"Water Reservior At Delo Lake, Darjelling",2521
"Belboni Lake Near Barjora, Bankura",2539
Lake Rasikbheel At Coochbehar,4720
Water Reservior St. Helens School,4725
Jorepokhari Lake At Sukhiapokhari,4729
"Ganga At Baharampore, Murshidabad,",1080
River Ganga At Behrampore (Khagra) Murshidabad,10159
River Ganga At Behrampore (Gora Bazar) Murshidabad,10160
"Nabadip On Ganga, Ghoshpara Near Monipurghat,Nadia",2511
"Tribeni On Ganga, Near Burning Ghat, Hooghly",2506
"River Ganga At Palta, Shitaltala,",10161
"Ganga At Serampore, Hooghly,West Bengal",1472
"Ganga At Dakshmineshwar, Kolkata, West Bengal",1053
Ganga At Howrah-Shivpur West Bengal,1471
"Ganga At Garden Reach, Kolkata, West Bengal",1470
"Ganga At Uluberia , Howrah,West Bengal",1052
"Ganga At Diamond Harbour, 24 Parganas (S)West Bengal",1469
Ganga At Patikali Near Durga Chak West Bengal,1335
"Damodar At Dishergarh Vill.(Nr.Jharkhand-West Bengal Border) , Burdwan,West Bengal",1331
"Damodar At D/S Of Iisco After 3Rd Outfall At Dhenna Village, Burdwan,West Bengal",1332
"Damodar At Narainpur After Confl. Of Nunia Nallah, Burdwan,West Bengal",1333
"Damodar Near Mujher Mana Village After Conf. Of Tamla Nallah, Burdwan,West Bengal",1334
"River Damodar At Andal U/S, Burdwan",10107
"River Damodar At Andal D/S, Burdwan",10108
"River Damodar At Asansol U/S, Burdwan",10109
"River Damodar At Durgapur U/S, Burdwan",10110
"River Damodar At Raniganj D/S, Burdwan",10111
"Damodar At Water Intake Point For Burdwan Town,",2527
"Churni D/S Of Ranaghat Town, West Bengal",1764
"Churni, Majhadia, Nadia",2518
"Dwarakeshwar At Water Intake Point For Bankura Town On River Dwarakeshwar, Bankura",2541
"U/S Of Tarapith On River Dwarka At Sadhak Bamdeb Ghat, Birbhum",2531
"D/S Of Tarapith On River Dwarka, Satighat",2532
"Jalangi, D/S Of Krishna Nagar, Nadia",2514
"Rupnarayan Before Confl. To River Ganga Near Geonkhali,Medinipore",1337
"D/S Of Rupnarayan At Kolaghat, Near Kolaghat Rail Bridge No.3,Medinipore€",2509
River Torsa D/S Of Ghughumari,4719
River Torsa At Hasimara,4724
"Garia Calcutta, West Bengal",1776
"Rishra, West Bengal",1813
Central Howrah- Residentail Area,1934
Near Exide Industries- Haldia,1942
Ground Water At Khardah,4706
Ground Water At Naihati,4707
Ground Water At Chinsura,4709
Tube Well Inside Mahishadal Rajbari,4734
Tube Well Inside Mecheda Bus Stand,4735
Tube Well At Old Digha,4736
Ganga At Palta West Bengal,1054
"Water Intake Point For Burdwan Town,",2527
"Churni D/S Of Ranaghat Town,",1764
Haldi River At Norghat,4710
Rasulpur River At Rasulpur Ghat,4711
"Digha, Purba Medinipur",5028
"River Ganga At Baharampore, Murshidabad, West Bengal",1080
"River Ganga At Behrampore(Khagra), Murshidabad",10159
"River Ganga At Behrampore, (Gora Bazar),Murshidabad",10160
"River Tribeni On Ganga, Near Burning Ghat, Hooghly",2506
"River Nabadip On Ganga, Ghoshpara Near Monipurghat,Nadia",2511
River Ganga At Palta West Bengal,1054
"River Ganga At Serampore, Hooghly,West Bengal",1472
"River Ganga At Dakshmineshwar, Kolkata, West Bengal",1053
River Ganga At Howrah-Shivpur West Bengal,1471
"River Ganga At Garden Reach, Kolkata, West Bengal",1470
"River Ganga At Uluberia , Howrah,West Bengal",1052
River Ganga At Patikali Near Durga Chak West Bengal,1335
"River Ganga At Diamond Harbour, 24 Parganas (S)West Bengal",1469
"River Damodar At Dishergarh Vill.(Nr.Bihar- West Bengal Border) , Burdwan,West Bengal",1331
"River Damodar At D/S Of Iisco After 3Rd Outfall At Dhenna Village, Burdwan,West Bengal",1332
"River Damodar At Narainpur After Confl. Of Nunia Nallah, Burdwan,West Bengal",1333
"River Damodar Near Mujher Mana Village After Conf. Of Tamla Nallah, Burdwan,West Bengal",1334
"River Damodar At Water Intake Point For Burdwan Town, Burdwan",2527
"River Matha Bhanga, Gobindapur, Nadia",2517
"River Mayurakshi At Water Intake Point For Suri Town, Birbhum",2534
"River Churni At Gade Border (Bangladesh - India Border), Nadia, West Bengal",30091
"River Churni D/S Of Ranaghat Town, West Bengal",1764
"River Churni, Majhadia, Nadia",2518
River Churni At Bijoypur (West Bengal),30064
River Dwarakeshwar At Water Intake Point For Bankura Town,2541
"River Jalangi, D/S Of Krishna Nagar, Nadia",2514
"River Rupnarayan Before Confl. To Ganga Near Geonkhali,Medinipore, West Bengal",1337
"River D/S Of Rupnarayan At Kolaghat, Near Kolaghat Rail Bridge No.3,Medinipore",2509
"River Dwarka At U/S Of Tarapith At Sadhak Bamdeb Ghat, Birbhum",2531
"River Dwarka At D/S Of Tarapith, Satighat",2532
River Damodar At Dishergarh (West Bengal),30065
River Damodar At Sindri,30066
"River Bindyadhari U/S Of Haroa Bridge, 24 Parganas(N)",2549
River Bindyadhari At D/S Of Malancha Burning Ghat,2550
"River Kansi D/S Of Midnapore, Near New Hanuman Mandir, Gandhighat, Medinipore(W)",2507
"River Mahananda At Siliguri, Darjeeling",1946
"River Mahananda D/S, Ramghat, Darjeeling",2525
"River Barakar At Asansol (Water Intake Point), Burdwan,West Bengal",1336
"River Kaljani D/S Of Alipurdwar, Municipality Discharge Point, Coochbehar",2524
"River Teesta At Sevoke, Siliguri, Darjeeling",1947
"River Karola, D/S Of Jalpaiguri, Near Min Bhawan, Jalpaiguri",2523
River Subarnarekha At Gopiballavpur (West Bengal),30068
"River Subarnarekha At Jharkhand - West Bengal Border, Medinipore(W), West Bengal",30090
"River Ganga At Farakka, Mushidabad",5162
"River Water Intake Point For Burdwan Town, Burdwan",2527
"River Mayurakshi Water Intake Point For Suri Town On, Birbhum",2534
River Mathabhanga At Govindpur (West Bengal),30064
"River Dwarakeshwar Water Intake Point For Bankura Town On Dwarakeshwar, Bankura",2541
"River Rupnarayan Before Confl. To Ganga Near Geonkhali,Medinipore West Bengal",1337
"River U/S Of Tarapith On Dwarka At Sadhak Bamdeb Ghat, Birbhum",2531
"River D/S Of Tarapith On Dwarka, Satighat",2532
"River U/S Of Bindyadhari At Haroa Bridge, 24 Parganas(N)",2549
River D/S Of Bidyadhari At Malancha Burning Ghat,2550
"River D/S Of Kansi At Midnapore, Near New Hanuman Mandir, Gandhighat, Medinipore(W)",2507
"River D/S Of Silabati At Ghatal, Medinipore(W)",2508
River Haldi At Norghat,4710
River Rasulpur At Rasulpur Ghat,4711
River Teesta At Jalpesh,4723
River Jaldhaka At Dhupguri,4717
River Siltorsa At Hasimara,4718
River Raidak At Alipurduar,4728
