monitoring_location,stn_code
"Amravati At Village Dadhal , Ta Ankleshwar, Bharuc",3203
"Well At Ahmedabad,",3
"Well At Baroda,",6
"Well At Narol, Ahmedabad,",1226
Pandesara (Indstrial) Surat,1964
"Atul, Village G.W, (Valsad)",1967
B/W- Hazardous W. Disposal Site (Guj. Enviro P.& I. Ltd. ),2087
"B/W Near Indl. Area Borasara & Navapura, Dist. Surat.",2089
Bore Well Of Navsari Gidc Industries Association Office.,2091
Well Of Bardoli At Rest House.,2093
"Bore Well Of Someshwar Rice Mill, Nr. Bavla Eco Project, (Cetp ), Vill. Bavla, Dist. Ahmedabad.",2097
"Borewell Of Gidc, Jhagadia",3207
"Borewell Of Gayatri Pragna School, Bhadarwad Road, Bazar Falia, Sarigam, Valsad",3209
"Borewell, Cetp-Naroda, Gidc, Naroda- Ahmedabad",3213
"Borewell Near Municipal Solid Waste Site- Gyaspur, Narol, Ahmedabad",3215
"Borewell Near Tsdf Site Of Naroda Enviro Project.Ltd, Odhave, Ahmedabad",3217
"Borewell Near Tsdf Site Of Saurashtra Enviro Project Ltd., Juna Katariya, Bhachau",3231
"Borewell Of Gidc Kalol, B/H Gidc Office, Gidc, Kalol, Gandhinagr",3235
"Borewell Of L & T Ltd., Plot No. 144/146, Sarkhej-Bavla Road, Sanand, Ahmedabad",3237
"Borewell Of Shri Mahavir Metal Craft Pvt. Ltd., Plot No. 3059, Road No.6, Nr. Mahavir Circle, Phase-Iii, Gidc, Dared, Jamnagar",3247
"Chandola Lake At Ahmedabad, Gujarat",1344
"Sursagar Lake At Baroda, Gujarat",1346
"Bindusarovar, Siddhpur (Dist.Patan)",1973
"Lakhota Talav, Jamnagar",1975
"Ranjitnagar Talav (Halol), Panchmahals",1978
Ankleshwar Reservoir At Gidc Ankleshwar At Valia Road.,2076
"Gomti Lake, Opp, Ranchodaji Temple, Dakor, Kheda",3198
"Hamisar Talav, Bhuj",3199
Moonsar Lake Of Viramgam,3200
"Malav Talav, Dholka",3201
Vheraimata Talav At Anand,3202
"Dhudhia Talav At Navsari, Dist. Navsari.",2079
2080,GEN-54FF9E
2081,GEN-0070D2
1148,GEN-DF0AAB
1149,GEN-09C6C3
1860,GEN-96C5C2
1865,GEN-69D1FC
"Mahi After Conf. With Anas At Pardi (Banaswada),",1230
"Mahi At Virpur,",1231
"Sabarmati At Kheroj Bridge,",1221
"Sabarmati At Gandhi Nagar Chiloda Bridge, Lekawada,",1407
"Sabarmati At Vill. Miroli Taluka Dascroi, Ahmedabad,",1408
"Sabarmati At Railway Bridge Ahmedabad,",1409
"Sabarmati River At Hansaol Bridge,",1866
"Sabarmati After Conf. With Meshwa At Vautha (Near Dhokla),",1223
"Sabarmati At Mahudi Jain Temple, 150 Km. Form Origin,",1482
"Shedhi At Kheda,",1222
"Khari At Lali Village Near Ahmedabad,",1437
"Panam At Lunawada,",1227
"Narmada At Bharuch, Zadeshvar,",1243
"Narmada At Panetha,",1244
"Narmada At Chandod,",1245
"Tapi At Mandavi,",1247
"Tapi At Surat U/S Kathore,",1248
Tapi River Near Bardoli (Kapp Bridge) Bardoli,1983
"Tapi River At Ongc Bridge At Surat, Dist. Surat",2071
Tapi At Nepanagar,9
Tapi At Burhanpur,10
"Tapi At Kathore, (Nh8 Bridge)",Stationcode
"Kim River At Sahol Bridge, Olpad Hansot Road, Dist. Surat",2070
"Amravati At Village Dadhal , Ta Ankleshwar, Bharuch",3203
Well At Ahmedabad,3
6,GEN-167909
1226,GEN-3210DD
1948,GEN-7CA57A
1949,GEN-36AC8E
1950,GEN-03E7D2
1953,GEN-A38B16
1954,GEN-5A7F96
1955,GEN-378A06
1956,GEN-E34084
1957,GEN-277A78
1958,GEN-D77F00
1959,GEN-E4DD55
1960,GEN-7F1610
1961,GEN-F106B7
1962,GEN-95F687
1963,GEN-C215B4
1965,GEN-D46E1F
1966,GEN-3683AF
1967,GEN-A82D92
1968,GEN-98C724
2084,GEN-A088EA
2085,GEN-E0A209
2088,GEN-D3A7F4
2090,GEN-26F5BD
2093,GEN-B2AB00
3207,GEN-D77E68
3219,GEN-94B5BD
3221,GEN-F5C150
3222,GEN-687FD5
3223,GEN-DF8397
3224,GEN-0D352B
3225,GEN-6DFE08
3226,GEN-907EDB
3227,GEN-AAC615
3228,GEN-040A99
3229,GEN-85AE75
3230,GEN-C12706
3238,GEN-528AEC
3239,GEN-AE3539
3243,GEN-38811C
1975,GEN-7D2B92
3199,GEN-B59307
3201,GEN-24EC84
"Ambika At Bilimora, Gujarat",1148
"Damanganga At Kachigaon U\S At Gidc Wier, Gujarat",1150
"Damanganga At Kachigaon D\S (Daman), Gujarat",1246
Amlakhadi After Confl. Of W. Water From Anklesh,1434
"Kolak At Railway Bridge No. 313 Vapi, Valsad, Guja",1435
Bhadar D/S Jetpur Vill. After Conf. Of W.Water Fro,1436
"Mindhola At State Highway Bridge Sachin, Gujarat",1438
River Purna On Bridge At Surat-Navsari Highway,1861
River Kaveri On Bridge At Billimora-Valsad Road,1862
River Bhogavo D/S Of Surendranagar.,2072
"Triveni Sangam, Nr. Somnath Temple, Veraval, Dist.",2082
Downstream Of River Vishwamitri At Khalipur Villag,3204
Upstream Of River Vishwamitri At Asod Bridge At N.,3205
"Damanganga At D/S Of Gidc Weir, Vapi",30039
