monitoring_location,stn_code
"Jaipal Pukhuri, Sipajhar, Assam",2213
"Saran Beel, Assam",2215
"Subhagya Kunda Pond Kamakhya Temple, Guwahati, Assam",2217
"Bishnu Puskar Pukhuri Of Hayagrib Madhab Temple, Hajo, Assam",2219
"Ganga Pukhuri, Nalbari (Gordon School), Assam",2221
"Mahamaya Mandir Pukhuri, Assam",2223
"Baskandi Pond Inside The Baskandi Madrasa, Baskandi, Assam",2225
"Hordai Pukhuri, Charaidew, Assam",2227
Borpukhuri At Sonari,3772
Pond Water From Ramkrishna Mission At Hailakandi,3806
"Brahamputra At Kherghat (After Confl. With Dibang & Dihang), Assam",1260
"Brahamputra At Dibrugarh, Assam",1030
"Brahamputra At Nimatighat, Assam",1262
"Brahmputra River At Dhenukhapahar, Assam",1526
"Brahamputra At Pandu, Assam",1031
"Brahamputra At Jogijhoga Near Bridge, Assam",1299
"Brahmputra River Near Water Intake Point At Kacharighat, Panbazar, Guwahati, Assam",2069
"Brahmaputra River At Chandrapur, Guwahati, Assam",2064
"Brahmputra River At Sualkuchi, Dist. Kamrup, Assam",2067
"Brahmaputra River At Dhubri, Assam",2066
"Brahamputra River At Bogibeel Bridge, Bogibeel, Dibrugarh",3781
"Dhansiri At Golaghat, Assam",1259
"Dhansiri At Nagalandassam Border, Dimapur",1928
"Subansiri At Gerekamukh (Before Confl. With Brah.), Assam",1261
"Kharsang Before Confluence With Buridihing Near Kharsang (Assamarunanchal Border), Assam",2061
"Burhidihing At Margherita, Assam",1422
"Burhidihing Near Duliajan At D/S, Tinsukia, Assam",2062
"Burhidihing River At Duliajan (Intake Point Of Oil India Ltd.), Assam",2230
"Pagldia River Near Nalbari Town, Dist. Nalbari, Assam",2065
"Digboi River At Lakhipathe, Reserve Forest, Digboi, Assam",1530
"Jai Bharali River Near Biswanath Charali, Sonitpur, Assam",2063
"Kolong River At U/S Of Anandaram Dekial Phukan Bridge, Nagaon, Assam",2237
"Kolong River At Marigaon, Assam",2059
