monitoring_location,stn_code
Eral Â– Charmam Arunachala Swamy Temple West Of Bore Well,4817
"Alwarthirunagari Â– Veterinary Dispensary, West Car Street Near Over Head Tank Of Bore Well",4818
Srivaikundam Â– Block Development Office Â– Open Well,4819
Srivaikundam Â– Tneb Sub Station 33 Kva Opposite To Tirunelveli Main Road Open Well,4820
Borewell Near Kambarasampettai Intake Well (Trichy Upstream),4821
"Paramasivam Water Service Station, Block No.13 Bsnl Exchange Opposite, Mettur Dam Â– 636 402.",4824
"M. Kaliappan, Sangilimuniyappan Kovil, Erikkadu, Mettur",4825
"Sakthi Nagar, Near Municipality Sewage Treatment Plant, Kompurankadu, Mettur",4826
"Over Head Tank At Tirur Village, Tiruvallur Taluk, Tiruvallur Panchayat Un",4823
Chennai Waterways At Captain Cotton Canal (Erukanjeri),10049
Chennai Waterways At Cc X Bc Confluence (Kodungaiyur),10050
Chennai Waterways At Buckingham Canal (Tidal Park),10052
Chennai Waterways At Mambalam Drain (Golf Course),10056
Chennai Waterways At Otteri Nullah (Origin),10047
Chennai Waterways At Otteri Nullah (Kilpauk Garden),10048
Chennai-1 Nesapakkam (Zone-Iv),20032
Chennai-2 Perungadi(Zone-V),20033
Chennai-3Kodungaiyur (Zone I&Ii),20034
Chennai-4 Koyambedu (Zone-Iii),20035
Erode-2,20038
Trichy,20040
Karur,20041
Tirchirappallli- Srirangam,20043
Thanjavur,20044
Tirunelveli,20045
Kumbakonam,20047
"Palar At Vaniyambadi Water Supply Head Work, Tamilnadu",1450
"Tambiraparani At Bdg.Nr. Madura Coats Ltd.Papavinasam, Tamilnadu",1159
"Tambiraparani At Cheranmadevi, Cause Way, Tamilnadu",1160
"Tambiraparani At Tirunelveli, Collectorate, Tamilnadu.",1161
"Tambiraparani At Rail Bdg. Nr. Ambasamudam, Tamilnadu",1329
"Tambiraparani At Arumuganeri, Tamilnadu",1330
"Tambiraparani At Kallidai Kurichi, Tirunelveli, Tamilnadu",3026
"Tambiraparani At Srivaikuntam, D/S Of Sk Anaicut, Tirunelveli, Tamilnadu",3027
"Tambiraparani At Sivalaperi, Confluence Point Of Kuttralam Falls, D/S Of Palayamkottai, Tirunelveli, Tamilnadu",3029
River Tamrabarani At Tirunelveli D/S,10062
Cauvery At Thirumukkudal-Confl. Pt.Of R. Amravati,1451
Author Ã‚Â– Mukkani Agragaram Street Infront Of Thiru N. Samuthrapandi House Bore Well,4816
Eral Ã‚Â– Charmam Arunachala Swamy Temple West Of Bore Well,4817
"Alwarthirunagari Ã‚Â– Veterinary Dispensary, West Car Street Near Over Head Tank Of Bore Well",4818
Srivaikundam Ã‚Â– Block Development Office Ã‚Â– Open Well,4819
Srivaikundam Ã‚Â– Tneb Sub Station 33 Kva,4820
Borewell Near Thogur Intake Well (Trichy Downstream),4822
"Paramasivam Water Service Station, Block No.13 Bsnl Exchange Opposite, Mettur Dam Ã‚Â– 636 402.",4824
"Kombupallam, Sathyamangalam",4907
"Thalavaipettai, Bhavani",4909
Perur Chettipalaym Panchayat Located Adjacent To Noyyal At Perur-Vedapatty Road (Opp Vinaygar Temple),4910
"Borewell At Pasupathy Pudur Village, Palani Taluk, Dindigul Dist.",4911
"Bore Well At Vanniarvalasu Village, Near Elementary School, Thoppampatti Panchayat Union, Palani Taluk, Dindigul Dist",4912
Chennai Waterways At Buckingham Canal (Ice House),10054
"River Tambiraparani At Bdg.Nr. Madura Coats Ltd.Papavinasam, Tamilnadu",1159
"River Tambiraparani At Cheranmadevi, Cause Way, Tamilnadu",1160
"River Tambiraparani At Tirunelveli, Collectorate, Tamilnadu.",1161
"River Tambiraparani At Murappanadu, Tamilnadu",1162
"River Tambiraparani At Pappankulam, Tamilnadu",1328
"River Tambiraparani At Rail Bdg. Nr. Ambasamudam, Tamilnadu",1329
"River Tambiraparani At Arumuganeri, Tamilnadu",1330
"River Palar At Vaniyambadi Water Supply Head Work, Tamilnadu",1450
"River Tambiraparani At Eral, Thothukudi, Tamilnadu",3025
"River Tambiraparani At Kallidai Kurichi, Tirunelveli, Tamilnadu",3026
"River Tambiraparani At Srivaikuntam, D/S Of Sk Anaicut, Tirunelveli, Tamilnadu",3027
"River Tambiraparani At Vellakoil, Tirunelveli, Tamilnadu",3028
"River Tambiraparani At Sivalaperi, Confluence Point Of Kuttralam Falls, D/S Of Palayamkottai, Tirunelveli, Tamilnadu",3029
10047,46
10048,47
10051,48
10055,49
10056,50
Tamil Nadu,1320
"Cauvery At Trichy, Grand Anaicut,",1203
"Cauvery At Mayiladuthurai, Nagapattinam,",3018
"Cauvery At Komarapalayam, Namakal,",3012
"Cauvery At Vairapalayam, Namakal,",3014
"Cauvery At Kumbakonam, Thanjavur,",3017
Srivaikundam Ã‚Â– Tneb Sub Station 33 Kva Opposite To Tirunelveli Main Road Open Well,4820
Ennore Creek,5064
Tiruvottiyur,5065
Chennai Port Trust,5066
Santhome Beach,5067
Injambakkam,5068
Mamallapuram,5069
Kalpakkam,5070
Alamparaikuppam,5071
Thalngadu,5072
Kottakuppam,5073
Cuddalore,5074
Pichavaram,5075
Kollidam,5076
Tharangambadi Beach,5077
Nagapattinam,5078
Vellankanni,5079
Muthupettai,5080
Lagoon Nearby The Coast Line,5081
Adiramapattinam,5082
Kezhathottam,5083
Mallipatanam,5084
Kottaipattinam,5085
Rmeswaram,5086
Erwadi,5087
Tuticorin,5088
Thiruchendur,5089
Punnakayal,5090
Vembar,5091
Uvari,5092
Koodankulam,5093
Kanyakumari,5094
Keezhamanakudy,5095
Colachel,5096
Thangapattinam,5097
Chennai- 3Kodungaiyur (Zone I&Ii),20034
Chennai-4 Koyambedu (Zone- Iii),20035
Mayiladuthurai,20042
Bhawani,20036
River Cauvery At Mettur,50
River Cauvery At Pallippalayam,51
"River Cauvery At Erode Near Chirapalayam, Tamilnadu",1320
"River Cauvery At Velore Near Kattipalayam, Tamilnadu",1323
"River Cauvery At Pugalur, Karur, Tamilnadu",3015
"River Cauvery At Mohanur Near Pattaipalayam, Tamilnadu",1324
"River Cauvery At Thirumukkudal-Confl. Pt.Of R. Amravati, Tamilnadu",1451
River Cauvery At Musiri,31
"River Cauvery At Pettaivaithalai, Trichy, Tamilnadu",3016
"River Cauvery At Tiruchirappalli U/S, Tamilnadu",1202
"River Cauvery At Tiruchirappalli D/S, Tamilnadu",1325
"River Cauvery At Trichy, Grand Anaicut, Tamilnadu",1203
"River Cauvery At Thanjavur, Tamilnadu",1206
"River Cauvery At Mayiladuthurai, Nagapattinam, Tamilnadu",3018
"River Cauvery At Komarapalayam, Namakal, Tamilnadu",3012
"River Cauvery At Urrachikottai, Erode, Tamilnadu",3013
"River Cauvery At Vairapalayam, Namakal, Tamilnadu",3014
River Locations At Kumarapalayam,4827
"River Cauvery At Kumbakonam, Thanjavur, Tamilnadu",3017
"River Cauvery At Coleroon, Tamilnadu",1326
"River Cauvery At Pitchavaram, Tamilnadu",1327
"River Cauvery At 1Km. D/S Of Bhavani Confl., Tamilnadu",1322
River Cauvery At Bhawani D/S,10064
River Cauvery At Erode U/S,10065
River Cauvery At Kumarapalayam U/S,10067
River Cauvery At Pallipalayam D/S,10070
River Cauvery At Karur U/S,10073
River Cauvery At Mayiladuthurai D/S,10078
"River Bhavani At Bhavani, Tamilnadu",1205
"River Bhavani At Pathirakaliamman Koil, Tamilnadu",1201
"River Bhavani At Sirumugai, Tamilnadu",1204
"River Bhavani At Bhavani Sagar, Tamilnadu",1321
"River Bhavani At D/S Of Bhavanisagar, Sathyamangalam, Erode, Tamilnadu",3019
"River Bhavani At U/S Of Kalingarayan Canal (B5), Erode, Tamilnadu",3020
"River Bhavani At D/S Of Kalingarayan Canal (B10), Erode, Tamilnadu",3021
"River Thirumanimuthar At Salem, D/S Of Sago & Textile Dying Industries, Tamilnadu",3022
"River Vasista At Salem, D/S Of Sago Indusries Effluent, Tamilnadu",3023
River Amravati At 1Km D/S From Eff.Dis. Pt. At Madhuthukkulam,1319
River Located On The Southern Bank Of Amaravathi And Downstream Side Of Karur Dyeing Cluster,4812
River Located Adjacent To Karu Msw Dump Site And On The Northern Bank Of Amaravathi And Downstream Side Of Karu Dyeing Cluster,4813
"River Sarabanga At Salem, D/S Of Textile Dyeing Industries Effluent, Tamilnadu",3024
River Adyar At Nandambakkam,10033
River Adyar At Ekkattuthangal,10034
River Adyar At Jaferkhanpet,10035
River Adyar At Maraimalai Bridge,10036
River Adyar At Kotturpuram Bridge,10038
River Adyar Near Boat Club,10039
River Cooum At Anna Nagar,10040
River Cooum At Arumbakkam,10041
River Cooum At Amanjikarai,10042
River Cooum At Poonamalle,10043
River Cooum At Collage Road,10044
River Cooum Near Central Jail,10045
River Cooum At Napier Bridge,10046
River Vaigai At Madurai U/S,10059
River Vaigai At Madurai D/S,10060
Collector Well At Thirupuvanam For Tamilnadu,1449
Author Ã‚Â– Mukkani Agragaram Street Infront,4816
"Ariyappampalayam, Sathyamangalam",4908
"Bore Well At Vanniarvalasu Village, Near Elementary School, Thoppampatti",4912
River Tambiraparani At Authoor Tamilnadu,1330
River Tambiraparani At Thiruvidaimaruthur Tamilnadu,1328
Madurai,20046
Chennai Waterways At Buckingham Canal X Otteri Nullah Confluence (Gmr Vasavi Industries),10051
"River Cauvery At Erode Near Virapalayam,",1320
River Cauvery Atparamathy Velore,1323
"River Cauvery At Pugalur, Karur,",3015
"River Cauvery At Mohanur Near Pattaipalayam,",1324
"River Cauvery At Thirumukkudal- Confl. Pt.Of R. Amravati,",1451
"River Cauvery At Pettaivaithalai, Trichy,",3016
"River Cauvery At Trichy, Grand Anaicut,",1203
"River Cauvery At Karuthattanudi Thanjavur,",1206
"River Cauvery At Mayiladuthurai, Nagapattinam,",3018
"River Cauvery At Komarapalayam, Namakal,",3012
"River Cauvery At Urrachikottai, Erode,",3013
"River Cauvery At Seerapalayam, Namakal,",3014
"River Cauvery At Kumbakonam, Thanjavur,",3017
"River Cauvery At Coleroon,",1326
"River Cauvery At Pitchavaram,",1327
"River Cauvery At 1Km. D/S Of Bhavani Confl.,R.N. Pundur,",1322
"River Thirumanimuthar At Salem, D/S Of Sago & Textile Dying Industries,",3022
"River Vasista At Thulukannur At Salem, D/S Of Sago Indusries Effluent,",3023
"River Sarabanga At Edapadi At Salem, D/S Of Textile Dyeing Industries Effluent, Tamilnadu",3024
"River Bhavani At Badtharakaliamman Koil, Tamilnadu",1201
"River Bhavani At Bhavani Sagar,",1321
"River Bhavani At D/S Of Bhavanisagar, Sathyamangalam, Erode,",3019
"River Bhavani At U/S Of Kalingarayan Canal (B5), Erode,",3020
"River Bhavani At D/S Of Kalingarayan Canal (B10), Erode",3021
"River Bhavani At Bhavani,",1205
River Vennar At Thanjavur U/S,10057
River Vennar At Thanjavur D/S,10058
