monitoring_location,stn_code
"Sea Water At Haji Ali, Worli, Mumbai",2810
"Sea Water At Shivaji Park, Dadar, Mumbai",2811
"Sea Water At Juhu Beach, Juhugaon, Santacruz, Mumbai",2812
"Sea Water At Ganapathipule, Ratnagiri",2813
"Sea Water At Bhagwati Bunder Near Ultra Tech Cement Jetty, Mirkarwada, Ratnagiri",2814
"Madvi Sea Water Near Jodhale Maruti Temple, Madvigaon, Ratnagiri",2815
Tapi At Ajnand Village,1313
Tapi At Bhusawal Us,1251
Tapi At Uphad Village,1314
Girna At Jalgaon,1252
Girna At Malegaon (Manmad),1253
Rangavali D/S Of Navapur,1907
"Purna A/C Of Morna, Nandura Village",2155
"Amravati D/S Of Dondaicha, Dhule",2652
"Bori D/S Of Amalner, Jalgaon",2658
"Burai B/C To Tapi Mukudas, Dhule",2659
"Gomai D/S Of Shahada, Dhule",2666
"Hiwara D/S Of Pachora, Jalgaon",2667
"Mor Near Padalshe, Jalgaon",2674
"Morna D/S Railway Bridge, Akola",2675
"Panzara Near Panzarakan Ssk Ltd, Panzara, Dhule",2684
"Pedhi Near Road Bridge At Dadhi-Pedhi Village, Bhatkuli, Amravati",2695
"Titur D/S Of Chalisgaon, Jalgaon",2710
Waghur B/C Sakegaon With Tapi Jalgaon,2718
"Godavari At Jayakwadi Dam, Aurnagabad, Maharashtra",1312
Godavari River Near Someshwar Temple,2177
Godavari River At Saikheda,2182
"Godavari River At Hanuman Ghat, Nashik City",2179
Godavari River At Nandur- Madmeshwar Dam.,2183
"Godavari River At Kapila- Godavari Confluence Point, Tapovan",2181
Godavari River Near Tapovan.,2180
"Godavari At Panchavati At Ramkund, Maharashtra",1096
"Godavari At Nasik D/S, Maharashtra",1211
"Godavari At U/S Of Gangapur Dam, Nasik, Maharashtra",1095
"Godavari River At U/S Of Aurangabad Reservoir, Kaigaon Tokka Near Kaigaon Bridge",2160
Godavari River At U/S Of Paithan At Paithan Intake Pump House At Jayakwadi,2158
Godavari River At D/S Of Paithan At Pathegaon Bridge,2159
"Godavari At Jalna Intake Water Pump House, Shahabad",2161
Godavari At Nanded,1210
Godavari At Raher,1209
Godavari At Latur Water Intake Near Pump House At Dhamegaon,2157
"Bindusara At Beed Near Intake Water Pump House At Dam, Paligaon, Beed",2657
"Wardha D/S Of Erai Hadasti, Chandrapur",2719
"Wardha U/S Of Erai River Hadasti, Chandrapur",2720
"Wardha U/S Of Acc Ghuggus. , Chandrapur",2721
Wardha D/S Of Acc Ghuggus,2174
Wardha At Confluence Point Of Penganga & Wardha At Juad,2156
Wardha At Rajura Bridge,1212
Wainganga A/C With Kanhan,1910
Wainganga U/S Of Ellora Paper Mill.,2173
Wainganga D/S Of Ellora Paper Mill.,2172
"Wainganga U/S Of Gaurav Paper Mills, Near Jackwell.",2175
"Wainganga D/S Of Gaurav Paper Mills, Near Jackwell.",2176
Wainganga At Ashti,11
Kolar B/C To Kanhan At Kamptee,1908
Kanhan D/S Of Nagpur,1909
"Kanhan U/S Of M/S Vidharbha Paper Mill, Sinora",2170
"Kanhan D/S Of M/S Vidharbha Paper Mill, Sinora",2171
Purna At Dhupeshwar,1913
"Nira At Pulgaon Cotton Mill, Wardha",1315
"Manjra D/S Of Latur Near Latur-Nanded Bridge, Bhatkheda, Latur",2673
"Darna At Chehedi Pumping Station, Chehedi, Nashik",2660
"Darna At Aswali (Darna Dam), Lgatpuri, Nashik",2661
"Darna At Mes Site Pumping Station, Bhagur, Nashik",2662
"Darna At Bhagur Pumping Station Near Pandhurli Bridge, Bhagur, Nashik",2663
"Darna At Sansari , Nashik",2664
"Penganga Near Water Supply Scheme Of Umarkhed Mc Belkhed, Umarkhed, Yavatmal",2697
"Penganga D/S Of Isapur Dam, Isapur, Pusad, Yavatmal",2698
"Penganga At Mehkar- Buldana Road Bridge, Mehkar, Buldana",2699
"Wena U/S Of Mohata Mills, Near Railway Bridge, Hinganghat",2722
"Wena D/S Of Mohata Mills, Nr Rd Brg On Hinganghat- Wadner Road",2723
Krishna At Mahabaleshwar Dhom Dam Near Koina Dam,1194
Krishna At Rajapur Weir,1153
"Krishna At Krishna Bridge, Karad",36
Krishna D/S Islampur,1906
Krishna At Sangli,37
Krishna At Kurundwad In Kolhapur,1310
Krishna At Kshetra Mahuli,2187
Krishna At Krishna-Venna Sangam At Mahuli,2188
Krishna At Wai,2190
Panchaganga At Ichalkaranji,1311
Panchaganga At Shirol Near Shirol Intake Well.,2163
Panchaganga U/S Of Kolhapur Town,1904
Panchaganga D/S Of Kolhapur Town,1905
Bhima U/S Vithalwadi Pune,1189
"Bhima At Koregaon Near Koregaon Bridge, Shirur, Pune",2655
"Bhima -Backwater Of Ujani Dam Near Raw Water Pump House, Kumbargaon, Indapur, Pune",2656
"Bhima D/S, Of Bundgarden Pune",1190
Bhima At Pargaon (A/Cwith Mule Martha),1191
Bhima A/C With Daunt,1192
"Bhima At Narsinghpur, (D/S Of A/C With Nira)",1188
Bhima At Takli,28
"Nira D/S Of Jubilant Organosis, Pune",2195
"Nira U/S Of Jubilant Organosis (Dattaghat), Baramati, Pune",2682
Nira At Sarole Bdg.On Pune- Banglore Highway,1463
"Nira At Sangavi, Phaltan, Satara",2681
"Nira At Shindewadi. Shirval, Khandala, Satara",2683
"Venna At Varye, Satara.",2186
"Venna At Mahabaleshwar, Satara",2716
"Venna At Mahuli, Satara",2717
Koyna At Karad.,2189
Mula At Harrison Bridge Near Mula- Pawana Sangam,2194
"Mula At Aundh Bridge, Aundgaon",2193
Mula-Mutha At Mundhawa Bridge,2192
"Mula-Mutha D/S Of Theur, Haweli, Pune",2677
Mutha At Sangam Bridge Near Ganapathy Ghat,2191
"Mutha Near Veer Savarkar Bhavan, Pune",2678
"Mutha At Deccan Bridge, Deccan, Pune",2679
"Mutha At Khadakvasla Dam, Khadakvasla, Haweli, Pune",2680
"Pawana At Sangavigaon, Pune",2196
"Pawana At Kasarwadi, Haweli, Pune",2690
"Pawana At Dapodi Bridge At Pawana-Mulla Sangam, Dapodi, Haweli, Pune",2691
"Pawana At Ravet Weir, Ravet, Haweli, Pune",2692
"Pawana At Chinchwadgaon, Haweli, Pune",2693
"Pawana At Pimprigaon, Haweli, Pune",2694
"Indrayanid/S Of Alandigaon, Pune",2197
"Indrayani At D/S Of Moshigaon, Haweli, Pune",2668
"Indrayani U/S Of Moshigaon, Haweli, Pune",2669
Chandrabhaga U/S Of Pandharpur Town,1911
Chandrabhaga D/S Of Pandharpur Town,1912
"Ghod At Shirur, Pune",2665
"Sina Near Laboti Toll Naka, Laboti, Mohal, Solapur",2705
"Urmodi Nagthane, Satara",2711
"Vel At Shikrapur, Shirur, Pune",2715
"Msw Site, Pimpri-Chinchwad, Pune",1992
"Phandarpur, Gangapur, Aurangabad",1993
"Tps-Durgapur, Chandrapur",1994
"Sawargaon, Yavatmal",2003
"Rasulwadi-Sambarwadi, Sangli",2008
2805,GEN-564645
2782,GEN-60243F
1092,GEN-6A2FEE
2168,GEN-41E763
Tapi At Bhusawal U/S,1251
"Purna River A/C Of Morna, Nandura Village",2155
"Bori River D/S Of Amalner, Jalgaon",2658
"Gomai River D/S Of Shahada, Dhule",2666
"Hiwara River D/S Of Pachora, Jalgaon",2667
"Mor River Near Padalshe, Jalgaon",2674
"Morna River At D/S Railway Bridge, Akola",2675
"Panzara River Near Panzarakan Ssk Ltd, Panzara, Dhule",2684
"Pedhi River Near Road Bridge At Dadhipedhi Village, Bhatkuli, Amravati",2695
"Titur River D/S Of Chalisgaon, Jalgaon",2710
"Waghur River At Sakegaon Before Confluence With Tapi River, Jalgaon",2718
"Godavari At Jayakwadi Dam, Aurnagabad",1312
Godavari River At Saikheda.,2182
"Godavari River At U/S Of Aurangabad Reservoir, Kaigaon Tokka Near Kaigaon Bridge.",2160
Godavari River At U/S Of Paithan At Paithan Intake Pump House At Jayakwadi .,2158
Godavari River At D/S Of Paithan At Pathegaon Bridge.,2159
Godavari At Dhalegaon,12
"Godavari At Raher, Nayagaon, Nanded",1209
Godavari River At Latur Water Intake Near Pump House At Dhamegaon.,2157
"Godavari At U/S Of Gangapur Dam, Nasik",1095
Godavari At Panchavati At Ramkund,1096
Godavari At Nasik D/S,1209
Godavari River Near Someshwar Temple.,2177
"Godavari River At Hanuman Ghat, Nashik City.",2179
Godavari River At Nandur Madmeshwar Dam.,2160
"Godavari River At Kapila Godavari Confluence Point, Tapovan.",2158
"Manjeera River At D/S Of Latur Near Laturnanded Bridge, Bhatkheda, Latur",GEN-E566D0
"Wardha River At D/S Of Erai River, Hadasti, Chandrapur",2719
"Wardha River At U/S Of Erai River Hadasti, Chandrapur",2720
"Wardha River At U/S Of Acc Ghuggus. , Chandrapur",2721
Wardha River D/S Of Acc Ghuggus.,2174
Wardha River At Confluence Point Of Penganga & Wardha At Juad.,2156
Wainganga After Conluence With Kanhan,1910
Wainganga River U/S Of Ellora Paper Mill.,2172
Wainganga River D/S Of Ellora Paper Mill.,2173
"Kanhan River U/S Of M/S Vidharbha Paper Mill, Sinora.",2170
"Kanhan River D/S Of M/S Vidharbha Paper Mill, Sinora.",2171
"Bindusara River At Beed Near Intake Water Pump House At Dam, Paligaon, Beed",2657
"Penganga River Near Water Supply Scheme Of Umarkhed Mc Belkhed, Umarkhed, Yavatmal",2697
"Penganga River D/S Of Isapur Dam, Isapur, Pusad, Yavatmal",2698
"Penganga River At Mehkarbuldana Road Bridge, Mehkar, Buldana",2699
"Wena River At U/S Of Mohata Mills, Near Railway Bridge, Hinganghat",2722
"Wena River At D/S Of Mohata Mills, Nr Rd Brg On Hinganghatwadner Road",2723
Kolar Before Confluence To Kanhan At Kamptee,1908
"Purna River Near Achalpuramravati Road Bridge, Asegaon, Chandur Bazar, Amravati",2700
"Darna River At Chehedi Pumping Station, Chehedi, Nashik",2660
"Darna River At Aswali (Darna Dam), Lgatpuri, Nashik",2661
"Darna River At Mes Site Pumping Station, Bhagur, Nashik",2662
"Darna River At Bhagur Pumping Station Near Pandhurli Bridge, Bhagur, Nashik",2663
"Darna River At Sansari , Nashik",2664
Krishna D/S Of Islampur,1906
Krishna River At Kshetra Mahuli.,2187
Krishna River At Krishnavenna Sangam At Mahuli.,2188
Krishna River At Wai.,2190
Panchaganga River At Shirol Near Shirol Intake Well.,2163
Bhima At Pune U/S Vithalwadi,1189
"Bhima River At Koregaon Near Koregaon Bridge, Shirur, Pune",2655
