monitoring_location,stn_code
"River Ganga At Rishikesh U/S,",1060
"River Ganga After Confluence Of Song Near Satyanarayan Temple D/S Raiwala, Dehradun",2725
River Ganga At Har- Ki-Pauri Ghat,10148
"River Ganga At Haridwar D/S, Upper Ganga Canal D/S Balkumari Mandir, Ajeetpur, Haridwar",1061
"River Ganga At Upper Ganga Canal D/S Roorkee, Haridwar",2727
River Ganga At Sultanpur (Uttarakhand),30005
River Yamuna At Yamunotri,1492
River Yamuna At Hanumanchatti,1493
River Yamuna At U/S Of Lakhwar Dam,1494
River Yamuna At Dak Pather (Uttarakhand),30025
"River Yamuna At U/S Dak Pather,",1490
River Tons At Haripur (U.K.),30023
"River Suswa At Mathurawala, Dehradun",2724
River Bhella U/S Kashipur,2734
River Dhella U/S At Kashipur Moradabad Road Bridge,2732
River Dhella D/S At Thakurdwara Aliganj Road,2733
River Koshi At Kashipur Bajpur Road Bridge,2731
River Gola At Haldwani,2728
River Kichha At Kichha U.S. Nagar,2729
River Pilkhar After Bilaspur Rampur,2730
"River Nandour U/S Sitarganj Industrial Area, Us Nagar",2736
"River Nandour D/S Sitarganj Industrial Area, Us Nagar",2737
"River Kalyani At D/S Pantnagar Industrial Area, Us Nagar",3439
"River Kalyani At U/S Pantnagar Indl Area, Us Nagar",3438
River Ramganga At D/S Kalagarh Dam (U.K.),30078
River Banganga At U/S Idrishpur (U.K.),30037
"Ground Water At Sitar Ganj Industrial Area- 1,Us Nagar",3440
"Ground Water At Sitar Ganj Industrial Area- 2,Us Nagar",3441
"Ground Water At Pantnagar Industrial Area- 1,Us Nagar",3442
"Ground Water At Pantnagar Industrial Area- 2,Us Nagar",3443
"Ground Water At Santipuri Kichha- 1,Us Nagar",3444
"Ground Water At Santipuri Kichha- 2,Us Nagar",3445
"Ground Water At Kashipur Moradabad Road- 1,Us Nagar",3446
"Ground Water At Kashipur Moradabad Road- 2,Us Nagar",3447
"Ground Water At Kashipur Bazpur Road- 1,Us Nagar",3448
"Hand Pump Near Kendriya Vidyalaya, Bazpur Road Kashipur,Us Nagar",3449
"Ground Water At Ramnagar Industrial Area-1,Roorkee ,Haridwar",3452
Drain After Stp At Swarg Ashram,20048
Drain After Stp At Lakkarghat,20049
Drain After Stp At Jagjitpur,20050
River Alaknanda B/C To River Mandakini At Rudra Prayag,1484
River Alaknanda A/C Of River Mandakini And River Alaknanda At Rudraprayag,1486
"River Bhagirathi B/C To River Alaknanda At Devprayag,Dist-Tehri Garhwal",1488
"River Alaknanda B/C Toriver Bhagirathi At Devprayag,Dist-Tehri Garhwal",1487
"River Ganga After Confluence Of River Bhagirathi And River Alaknanda At Devprayag ,Dist-Tefri Garhwal",1489
"River Mandakini B/C To River Alkalnada At Rudraprayag,",1485
"River Ganga U/S At Laxmanjhula,Rishikesh",1060
"River Ganga D/S At Bairaaj,Rishikesh",10147
River Ganga After Confluence Of Song Near Satyanarayan,2725
"River Ganga U/S At Abindughat, Dudhiyabad, Haridwar",3997
"River Ganga D/S At Balkumari Mandir, Ajeetpur, Haridwar",1061
"Upper Ganga Canal D/S At Roorkee, Haridwar",2727
"River Yamuna At U/S Dakpather, Dehradun",1490
"River Bhella U/S Of Kashipur,Us Nagar",2734
"River Bhella D/S Of Lohiya Bridge Kashipur,Us Nagar",2735
"River Dhella U/S At Kashipur Moradabad Road Bridge,Us Nagar",2732
"River Dhella D/S At Thakurdwara Aliganj Road,Us Nagar",2733
River Dhela At Adampur,30004
"River Kosi At Kashipur Bajpur Road Bridge,Kashipur,Us Nagar",2731
"River Kosi At Dadiyal Bridge, Uttrakhand",30002
River Kiccha At Pull Bhatta,30003
"River Pilkhar At Bilaspur, Rampur,Us Nagar",2730
"River Nandour U/S At Sitarganj Industrial Area, Us Nagar",2736
"River Nandour D/S At Sitarganj Industrial Area, Us Nagar",2737
"River Kalyani D/S Of Pantnagar Industrial Area, Us Nagar",3439
"River Kalyani U/S Of Pantnagar Indusrial Area, Us Nagar",3438
"River Ramganga At Kalagarhbarrage,Kalagarh, Dist,Paudhigadhwal (U.K.)",30078
