stn_code,station_name,mae,rmse,mape,actual_2022,predicted_2022
29,River Tungabhadra At Ulenoor,13.359091494783584,13.359091494783584,60.833749976245834,21.96,8.600908505216417
34,River Cauvery At Sathyagalam Bridge,1.049157804191756,1.049157804191756,16.921900067608966,6.2,5.150842195808244
41,River Kabini At Cause Way Sattur,0.4915835712140746,0.4915835712140746,7.729301434183562,6.36,6.851583571214075
1028,River Krishna At Tintini Bridge,24.095789383901998,24.095789383901998,74.46164828152658,32.36,8.264210616098001
1029,River Tungabhadra At Haralahalli Bridge,2.310970119423822,2.310970119423822,32.41192313357394,7.13,9.440970119423822
1091,River Bhadra At Malleswaram D/S Of Kiocl,0.9825142148729618,0.9825142148729618,25.653112659868455,3.83,2.8474857851270383
1163,River Ghataprabha At W.A. Point To Gokak Town,4.581858825146492,4.581858825146492,57.344916459906024,7.99,3.408141174853508
1164,"River Malaprabha At Water Abstraction Point To Hubli, Dharwad",0.9639680190549926,0.9639680190549926,13.692727543394781,7.04,8.003968019054993
1165,River Arkavathi At D/S Of Kanakapura,2.9963770127377103,2.9963770127377103,4.800347665392038,62.42,59.42362298726229
1166,"River Shimsha At D/S Of Bridge, Halagur",2.7604998331996793,2.7604998331996793,27.688062519555455,9.97,7.209500166800321
1167,River Bhima At D/S Of Bdg. Near Yadgir,2.080729838412908,2.080729838412908,21.384684875775005,9.73,7.649270161587093
1168,River Tunga At D/S Of Shimoga Town,8.047258772697882,8.047258772697882,64.22393274299985,12.53,20.57725877269788
1169,"River Bhadra At D/S Of Kiocl Road Bridge, Near Holehunnur",5.797035184171909,5.797035184171909,71.83438889928016,8.07,13.86703518417191
1170,River Krishna At D/S Of Devasagar Bdg.,26.217047620200184,26.217047620200184,68.54130096784363,38.25,12.032952379799818
1171,"River Cauvery At Sri Rangapattanna, D/S Of Road Bdg.",3.8596515847390487,3.8596515847390487,43.56265896996669,8.86,5.000348415260951
1182,River Krishna At U/S Of Ugarkhurd Barrage,1.4668096974169522,1.4668096974169522,19.741718673175672,7.43,8.896809697416952
1183,River Bhima At D/S Of Road Bridge At Gangapur Village,45.02045673750001,45.02045673750001,78.29644650000002,57.5,12.479543262499986
1184,River Bhima At Ferozabad Village (D/S),37.4960065284516,37.4960065284516,73.37770357818317,51.1,13.6039934715484
1185,River Ghataprabha At D/S Of Mudhol Road Cross Bdg.,5.495630355936838,5.495630355936838,68.78135614439095,7.99,2.494369644063163
1186,River Malaprabha At D/S Of Aihole Town,3.2158911846718468,3.2158911846718468,28.184848244275607,11.41,8.194108815328153
1187,River Malprabha At D/S Of Khanapur Village,3.275432575751619,3.275432575751619,39.13300568400979,8.37,5.09456742424838
1195,River Cauvery At Kushal Nagar U/S (Near Baichanahalli),1.1327026905654014,1.1327026905654014,28.676017482668385,3.95,2.8172973094345988
1196,River Lakshmantirtha At D/S Of Hunsur Town,5.841310273595862,5.841310273595862,47.259791857571706,12.36,6.518689726404137
1197,River Kabini At Saragur Village D/S,0.29777675758219857,0.29777675758219857,5.187748389933773,5.74,5.442223242417802
1198,River Cauvery At Napokulu Bdg (D/S),1.5762405443299392,1.5762405443299392,40.83524726243366,3.86,2.2837594556700607
