stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
1951,Ground Water At Rajkot,Groundwater,J & K,2020,Safe,11.1,None,27.0,,7.6,1389.0,2.0,1.67,,,
3824,"Ground Water Vill Bheemjori, Malajkh, Dist Balaghat",Groundwater,J & K,2020,Safe,0.0,None,22.0,,7.45,330.0,,0.5,,,
2574,Suraj Kund At Gaya,Pond/Tank,J & K,2020,Unsafe,43.53,"pH Out of Range, High BOD, High Total Coliform",,22.5,10.0,8.05,462.5,5.5,0.53,80180.0,81650.0
2078,"Kuwadava Lake, Vill. Kuwadava, Dist. Rajkot.",Pond/Tank,J & K,2020,Unsafe,22.31,"pH Out of Range, High BOD",,27.5,5.75,7.8,500.0,2.35,0.39,2.0,5.0
3197,"Machhu-Ii Dam, Rafleshwar, Morbi, Rajkot",Pond/Tank,J & K,2020,Unsafe,20.62,"pH Out of Range, High BOD",,27.0,6.3,7.45,500.0,1.2,0.155,2.0,2.0
2740,"(Mansar Lake At Mid Point(Surinsar Lake), J&K",Pond/Tank,J & K,2020,Unsafe,26.54,"pH Out of Range, High BOD",,16.0,6.1,8.15,166.0,4.0,0.035,,
4616,"River Banjar Near Road Bridge, Vill. Kharradhar Malanjkhand.",River,J & K,2020,Safe,2.92,None,22.0,7.2,7.75,284.0,1.3,0.68,2.0,28.0,
