stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
4832,"Borewell In The Premises Of Cetp, Murthal, Sonepat",Groundwater,HARYANA,2021,Unsafe,29.65,"High BOD, High Fecal Coliform, High Total Coliform",5.2,,7.4,2570.0,3.4,2.95,3200.0,4215.0,
4833,"Borewell In The Premises Of Dcrust, Murthal, Sonepat",Groundwater,HARYANA,2021,Safe,5.21,None,,,8.3,973.0,1.4,0.3,,20.0,
4844,"Borewell Near Posco Company, Sector - 14, Phase - Ii, Village Pathuhera, Hsiidc, Imt, Bawal",Groundwater,HARYANA,2021,Safe,3.87,None,33.1,,7.4,1590.0,,,160.0,2100.0,
4843,"Gepil, Village Pali, Mohabatabad Crusher Zone, Faridabad",Groundwater,HARYANA,2021,Safe,2.79,None,18.0,,7.25,897.0,1.0,,2.0,2.0,
4828,Ground Water At Jhajjar,Groundwater,HARYANA,2021,Unsafe,13.58,High Total Coliform,,,7.8,557.0,2.75,1.0,490.0,3500.0,
4830,Handpump Near Jln Canal Near Tilyar Lake At Rohtak,Groundwater,HARYANA,2021,Safe,5.55,None,,,8.15,965.0,1.0,,,,
4852,"Tubewell At Fauji Dhaba, Gt Karnal Road, Panipat",Groundwater,HARYANA,2021,Safe,3.73,None,,,8.3,1788.0,1.0,0.3,,20.0,
4841,"Tubewell At Garhi, Hodal , Palwal",Groundwater,HARYANA,2021,Safe,5.55,None,,,7.2,4510.0,1.0,0.3,,,
4840,"Tubewell At Hathin, Plawal",Groundwater,HARYANA,2021,Safe,5.55,None,,,7.7,5740.0,1.0,0.3,,,
4839,"Tubewell At Prithla, Palwal",Groundwater,HARYANA,2021,Safe,5.55,None,,,7.35,3665.0,1.0,0.3,,,
4854,"Tubewell Near 20 Mld Stp, Village Jattal Road, Panipat",Groundwater,HARYANA,2021,Safe,3.71,None,,,8.3,1160.0,1.0,0.3,,10.0,
4853,"Tubewell Near 25 Mld Stp, Sewah, Panipat",Groundwater,HARYANA,2021,Safe,4.47,None,,,8.1,1655.0,1.2,0.3,,20.0,
4855,"Tubewell Near 5 Mld Stp, Samalkha, Panipat",Groundwater,HARYANA,2021,Safe,5.21,None,,,8.3,1291.0,1.4,0.3,,20.0,
4842,Tubewell Near Police Station,Groundwater,HARYANA,2021,Safe,2.79,None,,,7.45,2565.0,1.0,,2.0,2.0,
4836,"Tubewell No. 1, Near Upstream Ghaggar River, Village Chiali",Groundwater,HARYANA,2021,Safe,0.0,None,,,7.65,947.0,,,,,
4837,"Tubewell No. 2, Near Gurudwara, Village Bhatia",Groundwater,HARYANA,2021,Safe,0.0,None,,,7.9,1195.0,,,,,
1349,Brahmsarovar Lake At Kurukshetra,Pond/Tank,HARYANA,2021,Unsafe,32.11,"High BOD, High Total Coliform",,,7.0,7.6,500.0,4.0,1.49,7100.0,17450.0
1392,"Kausshalaya Lake, Pinjore, Panchkula",Pond/Tank,HARYANA,2021,Unsafe,31.26,"pH Out of Range, High BOD, High Total Coliform",,,5.55,7.9,408.5,4.0,0.59,2600.0,6050.0
3033,Sohna Lake,Pond/Tank,HARYANA,2021,Unsafe,38.25,"High BOD, High Total Coliform",,26.2,6.85,7.45,500.0,6.5,2.0,22800.0,71000.0
