stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
,2394,Pond/Tank,JHARKHAND,2018,,,,,,24.0,,34.0,7.4
,2398,Pond/Tank,JHARKHAND,2018,,,,,,8.5,,26.5,7.5
,2402,Pond/Tank,JHARKHAND,2018,,,,,,16.0,,38.0,6.5
,2393,Pond/Tank,JHARKHAND,2018,,,,,,13.0,,32.0,6.5
10144,U/S NEAR LCT GHAT,River,JHARKHAND,2018,23.5,8.25,8.25,310.0,2.5,,,,
10146,SANGI DALAN,River,JHARKHAND,2018,25.0,8.25,8.15,311.0,2.6,,,,
3555,"DAMODAR RIVER NEAR ZARANGDIH BRIDGE, BOKARO",River,JHARKHAND,2018,27.5,7.55,7.55,,1.8,,,,
3556,CONFLUENCE OF BOKARO & DAMODAR RIVER NEAR ZARANGDI,River,JHARKHAND,2018,28.5,7.45,7.45,,2.05,,,,
2383,DAMODAR U/S JAMADOVA,River,JHARKHAND,2018,27.0,7.3,7.45,,1.05,,,,
1036,"KOEL AT MANOHARPUR AFTER MEETING KOINA RIVER D/S,",River,JHARKHAND,2018,25.0,7.7,7.5,255.0,0.55,,,,
1033,"KOEL AT BASIA, DAM U/S, JHARKHAND",River,JHARKHAND,2018,24.0,8.05,7.75,,2.4,,145.0,840.0,
