stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
1802,RIVER DIKCHU B/C WITH TEESTA NEAR NHPC HYDROELECTRIC POWER PROJECT,SIKKIM,SIKKIM,2021,14.0,11.0,7.0,212.5,1.9,1.25,55.0,145.0,
1801,RIVER TEESTA A/C OF RIVERS LACHENCHU AND,River,SIKKIM,2021,13.0,11.5,7.25,230.0,1.75,1.15,37.5,110.0,
1807,RIVER TEESTA A/C WITH RANICHU AT SINGTAM,River,SIKKIM,2021,17.25,9.5,6.75,205.0,1.95,1.4,66.0,142.5,
1808,RIVER TEESTA A/C WITH RANGICHU AFTER MEETING THE INDUSTRIAL EFFLUENTS FROM THE TOWN RANGPO,River,SIKKIM,2021,16.0,7.25,6.8,202.5,1.7,1.4,57.5,147.5,
1809,RIVER TEESTA AT MELLI DOWNSTREAM,River,SIKKIM,2021,17.25,8.6,6.75,215.0,2.0,1.3,62.5,155.0,
2034,RIVER RANGIT AT DAM SITE (NHPC),River,SIKKIM,2021,14.75,11.5,7.25,227.5,1.8,1.35,40.0,100.0,
2035,RIVER RANGIT AT LEGSHIP,River,SIKKIM,2021,16.0,10.25,6.95,185.0,1.85,1.35,41.5,107.5,
2036,RIVER RANGIT AT RESHI,River,SIKKIM,2021,16.25,10.0,6.8,197.5,1.85,1.45,40.0,107.5,
2037,RIVER RANGIT AT JORETHANG,River,SIKKIM,2021,16.5,9.2,6.7,185.0,1.8,1.2,50.0,122.5,
2038,RIVER RANGIT AT TRIVENI,River,SIKKIM,2021,18.0,8.5,6.85,210.0,1.9,1.35,57.5,145.0,
1805,RIVER AFTER CONFLUENCE OF RANICHU AND RORACHU AT RANIPOOL,River,SIKKIM,2021,16.0,8.25,6.75,190.0,2.0,1.45,72.5,162.5,
1806,"RIVER RANICHU BEFORE CONFLUENCE WITH TEESTA AT SINGTAM, SIKKIM",River,SIKKIM,2021,15.5,8.65,6.75,192.5,1.8,1.35,68.5,157.5,
1803,"RIVER MANEY KHOLA AT BURTUK NEAR ARMY BASE CAMP, 4 KM U/S OF GANGTOK",River,SIKKIM,2021,15.0,11.0,6.8,197.0,1.85,1.3,55.0,140.0,
1804,"RIVER MANEY KHOLA A/C WITH RAY KHOLA AT ADAMPOOL AFTER MEETING WASTE OF STP, GANGTOK",River,SIKKIM,2021,15.25,7.75,6.5,182.5,2.05,1.5,75.0,210.0,
