stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
2836,MorambaMarin (THOUBAL Dist.),River,MANIPUR,2016,,28.0,5.55,6.95,175.0,2.6,0.0,,25.0
2853,Mapithel Dam on Thoubal,River,MANIPUR,2016,,27.0,10.4,7.1,136.0,2.15,0.0,,20.0
2859,Singda Dam (IMPHAL WEST Dist.),River,MANIPUR,2016,,28.0,8.4,7.7,173.0,3.8,0.0,,47.5
2877,"Khuga Dam on Khuga River ,CC Pur",River,MANIPUR,2016,,29.0,7.5,7.95,265.5,1.25,0.0,,10.0
2838,BARAK NEAR NONEY (NH 35) TML DIST.,River,MANIPUR,2016,27.5,7.2,7.1,106.5,0.9,0.0,,56.0,
2852,MANIPUR AT SEKMAIJING (TBL DIST.),River,MANIPUR,2016,29.0,7.35,7.7,185.0,2.15,0.0,,57.5,
2854,THOUBAL AT PHADOM (TBL DIST.),River,MANIPUR,2016,28.0,6.9,7.55,251.0,1.8,0.0,,35.5,
2855,WANGJING AT HEIROK (TBL DIST.),River,MANIPUR,2016,30.0,7.05,7.4,222.0,3.35,0.0,,57.5,
2856,THOUBAL AT YAIRIPOK (THOUBAL DIST.),River,MANIPUR,2016,29.5,7.3,7.8,179.0,3.3,0.0,,40.0,
2857,MANIPUR AT THOUBAL,River,MANIPUR,2016,28.5,9.5,7.7,217.0,2.55,0.0,,27.5,
2858,"NAMBUL AT SHAMUSHANG, UK ROAD (IMPHAL WEST)",River,MANIPUR,2016,28.5,6.15,6.9,349.0,3.4,0.0,,7.5,
2860,NAMBUL AT NAOREMTHONG (IMPHAL WEST),River,MANIPUR,2016,29.0,6.05,7.05,421.0,4.25,0.0,,42.5,
2861,KANGLA MOAT (IMPHAL WEST),River,MANIPUR,2016,29.0,5.7,7.95,276.5,4.8,0.0,,102.5,
2862,IMPHAL AT SHAMUROU ( IMPHAL WEST),River,MANIPUR,2016,28.5,6.5,7.45,130.0,4.7,0.0,,30.0,
