stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
1388,"ULSOOR LAKE TRAINING CENTRE OF FISH BREEDING, KARNATAKA",Pond/Tank,KARNATAKA,2017,,32.0,7.0,8.35,538.0,5.5,1.275,39665.0,271545.0
1446,"HEBALLA VALLEY LAKE AT D-S ROAD BRIDGE NR. MANDYA, KARNATAKA",Pond/Tank,KARNATAKA,2017,,25.0,5.2,8.0,1046.0,3.85,3.02,1015.0,4200.0
3582,HEBBAL LAKE,Pond/Tank,KARNATAKA,2017,,26.5,3.9,7.8,1871.5,15.65,0.74,1850.0,5850.0
3583,KUKKARAHALLI LAKE,Pond/Tank,KARNATAKA,2017,,28.0,6.35,8.45,738.0,6.5,0.44,1310.0,5450.0
3584,DALAVAI LAKE,Pond/Tank,KARNATAKA,2017,,27.0,2.15,7.8,964.0,17.2,2.165,3000.0,7350.0
3585,YENNEHOLE LAKE,Pond/Tank,KARNATAKA,2017,,29.5,2.3,7.9,987.0,17.6,1.92,2200.0,7350.0
3586,LIMBHABUDI LAKE,Pond/Tank,KARNATAKA,2017,,28.0,4.55,8.5,822.0,9.9,0.39,1615.0,5500.0
3587,SHETTYKERE LAKE,Pond/Tank,KARNATAKA,2017,,28.0,5.1,8.55,789.0,7.4,0.42,1510.0,5450.0
3591,KEMPAMBUDHI LAKE,Pond/Tank,KARNATAKA,2017,,23.5,5.95,7.05,441.0,4.5,4.095,2555.0,11910.0
3592,YEDIYUR LAKE,Pond/Tank,KARNATAKA,2017,,28.0,4.35,7.25,457.0,13.5,2.44,245395.0,546740.0
3593,"ULSOOR LAKE TRAINING CENTRE OF FISH BREEDING, KARNATAKA",Pond/Tank,KARNATAKA,2017,,31.5,7.0,8.1,498.0,5.5,1.205,39635.0,271545.0
3601,KARIHOBANAHALLI LAKE,Pond/Tank,KARNATAKA,2017,,29.5,4.0,7.05,3188.5,34.3,6.85,170500.0,1794500.0
3602,BELLANDUR LAKE,Pond/Tank,KARNATAKA,2017,,28.0,3.75,6.95,979.0,24.5,2.95,8635000.0,27170500.0
3608,VARTHUR LAKE,Pond/Tank,KARNATAKA,2017,,30.5,3.35,8.85,1269.0,24.5,5.55,1779500.0,8774000.0
3610,TUBRAHALLI LAKE,Pond/Tank,KARNATAKA,2017,,29.0,4.0,7.6,1549.5,25.0,2.625,651100.0,1747050.0
3611,KAIKONDANAHALLI LAKE,Pond/Tank,KARNATAKA,2017,,28.0,5.45,8.1,803.5,7.0,1.48,245165.0,706740.0
3612,AGARAM LAKE,Pond/Tank,KARNATAKA,2017,,28.0,5.75,8.0,1052.0,6.5,1.5,105245.0,876740.0
3613,GOTTEGRE LAKE,Pond/Tank,KARNATAKA,2017,,29.0,,7.1,1081.0,45.0,2.0,2700.0,14100.0
3614,PUTTENAHALLI LAKE (S),Pond/Tank,KARNATAKA,2017,,28.5,3.95,7.4,1158.5,8.25,8.0,396350.0,2727400.0
3615,ARAKERE LAKE,Pond/Tank,KARNATAKA,2017,,28.0,4.0,7.7,1185.0,8.3,1.65,860700.0,2718600.0
3616,KALENA AGRAHARA LAKE,Pond/Tank,KARNATAKA,2017,,29.0,4.6,7.6,782.0,12.45,5.37,166650.0,550450.0
3617,HULIMAVU LAKE,Pond/Tank,KARNATAKA,2017,,28.5,4.2,7.35,1166.5,10.0,7.7,1300550.0,11058600.0
3618,SINGASANDRA LAKE,Pond/Tank,KARNATAKA,2017,,27.15,3.85,7.75,875.0,10.5,1.85,60700.0,862710.0
3620,PARAPPANA AGRAHARA LAKE,Pond/Tank,KARNATAKA,2017,,27.05,5.1,7.4,802.0,7.5,2.15,395350.0,861105.0
3621,HARALAKUNTE LAKE,Pond/Tank,KARNATAKA,2017,,27.0,5.95,7.55,1064.0,6.25,7.65,245135.0,861105.0
3622,SOMASUNDRA PALYA LAKE,Pond/Tank,KARNATAKA,2017,,27.1,4.55,7.6,927.0,74.0,4.5,396650.0,2715450.0
3624,PUTTENAHALLI LAKE,Pond/Tank,KARNATAKA,2017,,28.5,3.1,6.9,1414.0,153.0,6.04,1660500.0,4010000.0
3625,HEBBAL LAKE,Pond/Tank,KARNATAKA,2017,,28.5,6.85,7.3,976.0,7.0,4.83,350850.0,710450.0
3627,JAKKUR LAKE,Pond/Tank,KARNATAKA,2017,,30.0,6.75,8.2,1185.5,14.0,5.96,245850.0,2713950.0
3644,MULBHAGAL LAKE,Pond/Tank,KARNATAKA,2017,,29.0,4.45,7.95,1622.0,20.25,3.59,39555.0,65600.0
3645,DEVARAYASAMUDRA LAKE,Pond/Tank,KARNATAKA,2017,,29.0,3.7,8.0,1008.5,14.0,2.675,7110.0,272740.0
3646,NARASAPURA LAKE,Pond/Tank,KARNATAKA,2017,,24.5,6.75,7.35,564.0,3.5,0.975,2045.0,10340.0
