stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
1111,W.YAM. CANAL C-3 DELHI BRANCH AT R.D.245250,Canal,DELHI,2016,,,6.08,7.18,480.0,8.65,0.0,,
1112,"W.YAM. CANAL C-4 BEFORE ENTER INTO DELHI BRANCH, R.D.282628",Canal,DELHI,2016,,,6.195,7.3,444.5,7.4,0.0,,
1115,W.YAM. CANAL C-7 DELHI PARALLEL BRANCH AT KHUBRU FALL RD- 145250,Canal,DELHI,2016,,,6.07,7.64,508.5,9.61,0.0,,
1116,W.YAM. CANAL WC-4 DELHI PARALLEL BRANCH AT PANIPAT,Canal,DELHI,2016,,,8.14,7.965,245.0,1.79,0.0,,
1120,YAMUNA AT WAZIRABAD,River,DELHI,2016,24.75,9.3,7.6,2037.0,5.0,0.0,12100.0,27245.0,
1121,YAMUNA AT NIZAMUDDIN,River,DELHI,2016,24.0,1.5,7.5,1146.5,24.5,0.0,2713000.0,4720000.0,
,OKHLA BRIDGE (INLET OF AGRA CANAL),River,DELHI,2016,23.85,1.1,7.45,1018.0,26.0,,2720500.0,4720000.0,
1812,YAMUNA AT OKHLA A/M OF SHAHDARA DRAIN,River,DELHI,2016,25.6,0.85,7.45,1092.0,35.5,0.0,46020000.0,80115000.0,
