stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
,3582,Pond/Tank,KARNATAKA,2018,,,,,,20.0,,26.0,0.0
,3583,Pond/Tank,KARNATAKA,2018,,,,,,22.0,,27.0,6.5
,3584,Pond/Tank,KARNATAKA,2018,,,,,,23.0,,29.0,0.0
,3585,Pond/Tank,KARNATAKA,2018,,,,,,19.0,,29.0,0.0
,3586,Pond/Tank,KARNATAKA,2018,,,,,,20.0,,33.0,4.0
,3587,Pond/Tank,KARNATAKA,2018,,,,,,22.0,,29.0,5.0
,3591,Pond/Tank,KARNATAKA,2018,,,,,,24.0,,30.0,5.5
,3592,Pond/Tank,KARNATAKA,2018,,,,,,24.0,,30.0,5.0
,3601,Pond/Tank,KARNATAKA,2018,,,,,,25.0,,29.0,0.0
,3602,Pond/Tank,KARNATAKA,2018,,,,,,26.0,,30.0,0.0
,3608,Pond/Tank,KARNATAKA,2018,,,,,,25.0,,29.0,3.2
,3610,Pond/Tank,KARNATAKA,2018,,,,,,23.0,,29.0,1.6
,3611,Pond/Tank,KARNATAKA,2018,,,,,,26.0,,30.0,2.8
,3612,Pond/Tank,KARNATAKA,2018,,,,,,26.0,,30.0,1.3
,3613,Pond/Tank,KARNATAKA,2018,,,,,,28.0,,29.0,2.3
,3614,Pond/Tank,KARNATAKA,2018,,,,,,25.2,,30.0,2.2
,3615,Pond/Tank,KARNATAKA,2018,,,,,,25.4,,30.0,0.9
,3616,Pond/Tank,KARNATAKA,2018,,,,,,25.2,,28.0,5.4
,3617,Pond/Tank,KARNATAKA,2018,,,,,,25.3,,29.0,2.3
,3618,Pond/Tank,KARNATAKA,2018,,,,,,26.0,,30.0,1.5
,3620,Pond/Tank,KARNATAKA,2018,,,,,,25.0,,30.0,2.1
,3621,Pond/Tank,KARNATAKA,2018,,,,,,27.0,,30.0,1.5
,3622,Pond/Tank,KARNATAKA,2018,,,,,,26.0,,28.0,0.0
,3624,Pond/Tank,KARNATAKA,2018,,,,,,26.0,,31.0,0.0
,3625,Pond/Tank,KARNATAKA,2018,,,,,,24.0,,30.0,4.2
,3627,Pond/Tank,KARNATAKA,2018,,,,,,28.0,,31.0,4.0
,3628,Pond/Tank,KARNATAKA,2018,,,,,,27.0,,31.0,0.5
,3644,Pond/Tank,KARNATAKA,2018,,,,,,22.0,,29.0,1.2
,3645,Pond/Tank,KARNATAKA,2018,,,,,,22.0,,29.0,1.8
,3646,Pond/Tank,KARNATAKA,2018,,,,,,20.0,,30.0,2.8
,3647,Pond/Tank,KARNATAKA,2018,,,,,,23.0,,26.0,2.0
,3649,Pond/Tank,KARNATAKA,2018,,,,,,22.0,,25.0,5.6
,3559,Pond/Tank,KARNATAKA,2018,,,,,,20.0,,28.0,6.6
,3560,Pond/Tank,KARNATAKA,2018,,,,,,24.0,,33.0,6.0
,3561,Pond/Tank,KARNATAKA,2018,,,,,,20.0,,26.0,6.7
,3565,Pond/Tank,KARNATAKA,2018,,,,,,28.0,,31.0,6.2
,3588,Pond/Tank,KARNATAKA,2018,,,,,,23.0,,28.0,4.8
,3589,Pond/Tank,KARNATAKA,2018,,,,,,25.3,,30.0,1.5
,3590,Pond/Tank,KARNATAKA,2018,,,,,,24.6,,30.0,5.6
,3594,Pond/Tank,KARNATAKA,2018,,,,,,26.0,,28.0,4.3
,3595,Pond/Tank,KARNATAKA,2018,,,,,,24.6,,33.0,2.2
,3597,Pond/Tank,KARNATAKA,2018,,,,,,21.0,,29.0,4.6
,3598,Pond/Tank,KARNATAKA,2018,,,,,,22.0,,30.0,0.8
,3599,Pond/Tank,KARNATAKA,2018,,,,,,22.0,,30.0,0.5
,3600,Pond/Tank,KARNATAKA,2018,,,,,,25.0,,29.0,0.0
,3603,Pond/Tank,KARNATAKA,2018,,,,,,20.0,,27.0,3.2
,3604,Pond/Tank,KARNATAKA,2018,,,,,,24.0,,29.0,4.2
,3605,Pond/Tank,KARNATAKA,2018,,,,,,22.0,,29.0,3.8
,3606,Pond/Tank,KARNATAKA,2018,,,,,,22.0,,30.0,0.5
,3619,Pond/Tank,KARNATAKA,2018,,,,,,26.0,,28.0,3.4
,3626,Pond/Tank,KARNATAKA,2018,,,,,,26.0,,33.0,4.0
,3629,Pond/Tank,KARNATAKA,2018,,,,,,25.0,,31.0,4.4
,3630,Pond/Tank,KARNATAKA,2018,,,,,,28.0,,30.0,4.0
,3632,Pond/Tank,KARNATAKA,2018,,,,,,24.0,,26.0,4.0
,3634,Pond/Tank,KARNATAKA,2018,,,,,,23.2,,30.5,4.6
,3635,Pond/Tank,KARNATAKA,2018,,,,,,24.3,,30.7,2.1
,3637,Pond/Tank,KARNATAKA,2018,,,,,,25.0,,31.0,0.5
,3638,Pond/Tank,KARNATAKA,2018,,,,,,22.0,,28.0,5.8
,3640,Pond/Tank,KARNATAKA,2018,,,,,,22.3,,28.7,0.0
,3641,Pond/Tank,KARNATAKA,2018,,,,,,23.0,,29.8,4.6
,3643,Pond/Tank,KARNATAKA,2018,,,,,,26.0,,27.0,3.2
,3648,Pond/Tank,KARNATAKA,2018,,,,,,24.0,,27.0,0.6
,3650,Pond/Tank,KARNATAKA,2018,,,,,,23.0,,26.0,1.1
,3651,Pond/Tank,KARNATAKA,2018,,,,,,22.0,,25.0,0.5
,3653,Pond/Tank,KARNATAKA,2018,,,,,,23.0,,26.0,5.0
,3654,Pond/Tank,KARNATAKA,2018,,,,,,24.0,,30.0,3.8
,3657,Pond/Tank,KARNATAKA,2018,,,,,,25.0,,27.0,3.0
,3659,Pond/Tank,KARNATAKA,2018,,,,,,24.0,,28.0,3.2
,3660,Pond/Tank,KARNATAKA,2018,,,,,,25.0,,28.0,4.5
,3661,Pond/Tank,KARNATAKA,2018,,,,,,25.0,,28.0,4.9
,3663,Pond/Tank,KARNATAKA,2018,,,,,,25.0,,28.0,4.6
,3664,Pond/Tank,KARNATAKA,2018,,,,,,25.0,,28.0,4.5
,3665,Pond/Tank,KARNATAKA,2018,,,,,,25.0,,28.0,4.6
,3666,Pond/Tank,KARNATAKA,2018,,,,,,25.0,,27.0,4.8
,3667,Pond/Tank,KARNATAKA,2018,,,,,,25.0,,27.0,4.2
,3668,Pond/Tank,KARNATAKA,2018,,,,,,25.0,,26.0,5.5
,3669,Pond/Tank,KARNATAKA,2018,,,,,,24.0,,28.0,4.6
,3670,Pond/Tank,KARNATAKA,2018,,,,,,25.0,,27.0,4.0
,3671,Pond/Tank,KARNATAKA,2018,,,,,,25.0,,28.0,5.1
,3672,Pond/Tank,KARNATAKA,2018,,,,,,25.0,,27.0,5.2
,3673,Pond/Tank,KARNATAKA,2018,,,,,,25.0,,27.0,4.6
,3675,Pond/Tank,KARNATAKA,2018,,,,,,25.0,,28.0,5.4
,3677,Pond/Tank,KARNATAKA,2018,,,,,,25.0,,30.0,4.4
,3679,Pond/Tank,KARNATAKA,2018,,,,,,28.0,,33.0,5.1
,3680,Pond/Tank,KARNATAKA,2018,,,,,,20.0,,32.0,5.6
,3681,Pond/Tank,KARNATAKA,2018,,,,,,21.0,,29.0,0.0
,3682,Pond/Tank,KARNATAKA,2018,,,,,,21.0,,32.0,5.1
,3683,Pond/Tank,KARNATAKA,2018,,,,,,25.0,,27.0,4.2
,3684,Pond/Tank,KARNATAKA,2018,,,,,,24.0,,27.0,6.9
,3685,Pond/Tank,KARNATAKA,2018,,,,,,23.0,,27.0,6.1
,3686,Pond/Tank,KARNATAKA,2018,,,,,,23.0,,27.0,7.2
,3687,Pond/Tank,KARNATAKA,2018,,,,,,23.0,,27.0,6.6
,3688,Pond/Tank,KARNATAKA,2018,,,,,,23.0,,27.0,6.8
,3689,Pond/Tank,KARNATAKA,2018,,,,,,23.0,,27.0,6.2
,3690,Pond/Tank,KARNATAKA,2018,,,,,,23.0,,27.0,6.5
,3691,Pond/Tank,KARNATAKA,2018,,,,,,25.0,,31.0,6.5
,3692,Pond/Tank,KARNATAKA,2018,,,,,,25.0,,34.0,6.8
,3693,Pond/Tank,KARNATAKA,2018,,,,,,25.0,,33.0,4.2
,3694,Pond/Tank,KARNATAKA,2018,,,,,,26.0,,28.0,6.9
,3695,Pond/Tank,KARNATAKA,2018,,,,,,26.0,,30.0,5.9
,3696,Pond/Tank,KARNATAKA,2018,,,,,,26.0,,31.0,3.0
,3697,Pond/Tank,KARNATAKA,2018,,,,,,23.0,,30.0,2.0
1444,"KALI AT D/S WEST COAST PAPER MILL, KARNATAKA",River,KARNATAKA,2018,28.85,7.55,7.25,85.0,2.8,0.92,215.0,1175.0,
2780,"KALI AT U/S OF WCPM, DANDELI, KARNATAKA",River,KARNATAKA,2018,27.0,7.0,7.3,72.0,2.65,0.45,535.0,1175.0,
3562,THUMBE WATER SUPPLY STATIONS TO MANGALORE CITY,River,KARNATAKA,2018,28.5,7.0,7.05,137.0,2.5,0.895,118.5,535.0,
3563,U/S OF UPIINGADY TOWN,River,KARNATAKA,2018,30.0,6.95,7.0,139.0,1.5,0.755,92.0,570.0,
,3566,River,KARNATAKA,2018,,,,,23.0,26.0,,6.1,7.3
,3571,River,KARNATAKA,2018,,,,,23.0,28.0,,5.2,7.0
