stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
19,"Well At Eloor,Ernakulam",Groundwater,KERALA,2022,Unsafe,9.21,pH Out of Range,26.5,,5.75,120.0,1.6,1.275,290.0,435.0,
22,"Well At Chungapally, Kerala",Groundwater,KERALA,2022,Unsafe,1.54,pH Out of Range,27.5,,6.25,122.5,,1.21,23.0,80.0,
35,"Well At Punalur, Kerala",Groundwater,KERALA,2022,Safe,3.31,None,24.0,,7.2,208.5,1.1,2.08,31.0,100.0,
1581,"Well At Pappanamkode, Thiruvananthapuram, Kerala",Groundwater,KERALA,2022,Unsafe,11.1,pH Out of Range,27.0,,5.2,184.0,1.8,,150.0,355.0,
1582,"Well At Nedumangad, Thiruvananthapuram, Kerala",Groundwater,KERALA,2022,Unsafe,11.1,pH Out of Range,27.0,,6.0,240.0,2.2,,455.0,800.0,
1583,"Well At Kundara, Kollam Distt. , Kerala",Groundwater,KERALA,2022,Safe,5.48,None,24.5,,6.8,233.5,1.45,16.2,,90.0,
1584,"Well At Cherthala, Alleppy, Kerala",Groundwater,KERALA,2022,Safe,5.88,None,30.0,,7.3,238.5,1.6,,200.0,445.0,
1585,"Well At Vyttila, Ernakulam Distt. Kerala",Groundwater,KERALA,2022,Unsafe,24.53,"High Fecal Coliform, High Total Coliform",28.5,,7.35,495.0,1.4,5.96,3100.0,5150.0,
1586,"Well At Edayar Ernakulam Distt., Kerala",Groundwater,KERALA,2022,Unsafe,11.16,"pH Out of Range, High Fecal Coliform",27.5,,6.15,302.5,1.25,1.83,790.0,2395.0,
1587,"Well At Kalamassery Ernakulam Distt. ,Kerala",Groundwater,KERALA,2022,Unsafe,5.81,pH Out of Range,27.0,,5.9,272.5,1.2,4.31,20.5,66.5,
1588,"Well At Punkunnam Trissur Distt. , Kerala",Groundwater,KERALA,2022,Safe,6.18,None,27.5,,7.3,200.5,1.6,9.35,250.0,490.0,
1589,"Well At Malapuram , Kerala",Groundwater,KERALA,2022,Safe,0.38,None,22.0,,7.3,339.5,,2.4,38.5,91.5,
1590,"Well At Mavoor, Kozhikkode Distt. , Kerala",Groundwater,KERALA,2022,Safe,2.4,None,28.0,,6.6,80.0,,,265.0,475.0,
1591,Well At Kannur Municipality Kannur,Groundwater,KERALA,2022,Unsafe,11.91,pH Out of Range,28.0,,4.95,108.0,1.8,,130.0,300.0,
1592,"Well At Payyannur, Kannur Distt. , Kerala",Groundwater,KERALA,2022,Safe,5.76,None,28.0,,6.65,187.0,1.4,,265.0,555.0,
2308,Well At Fathimapuram (Changanassery),Groundwater,KERALA,2022,Safe,6.42,None,27.5,,6.55,159.5,1.9,1.46,150.0,400.0,
2309,Well At Karoor (Pala),Groundwater,KERALA,2022,Unsafe,9.36,pH Out of Range,25.5,,5.55,117.0,1.15,0.67,,175.0,
2310,Well At Vaikom,Groundwater,KERALA,2022,Unsafe,10.83,pH Out of Range,25.5,,5.45,202.5,1.4,,,200.0,
