stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
2394,TOP CHACHI LAKE,Pond/Tank,JHARKHAND,2017,,27.25,7.25,7.35,,1.5,,,
2398,"DIMNA LAKE, DIMNA",Pond/Tank,JHARKHAND,2017,,21.75,7.85,7.25,251.0,3.3,0.9,,
2393,"SHIV GANGA POND, DEOGHAR",Pond/Tank,JHARKHAND,2017,,29.5,5.7,7.85,340.0,2.7,,,
1059,"GANGA AT RAJMAHAL,",River,JHARKHAND,2017,28.0,8.2,7.6,336.5,2.65,,,,
1036,"KOEL AT MANOHARPUR AFTER MEETING KOINA RIVER D/S, JHARKAND",River,JHARKHAND,2017,29.0,7.7,7.55,278.5,0.55,2.8,,,
1033,"KOEL AT BASIA, DAM U/S, JHARKHAND",River,JHARKHAND,2017,24.5,8.05,7.4,0.0,2.25,0.0,185.0,975.0,
2399,SUBARNAREKHA AT CHANDIL DAM,River,JHARKHAND,2017,22.5,7.95,7.6,191.0,0.25,74.25,,,
23,"SUBARNAREKHA AT RANCHI, (TATISILWAI)",River,JHARKHAND,2017,26.0,5.85,7.05,,3.25,,185.0,1125.0,
2399,SUBARNAREKHA AT CHANDIL BRIDGE,River,JHARKHAND,2017,23.75,7.8,7.55,195.0,0.35,0.9,,,
24,SUBARNAREKHA AT JAMSHEDPUR,River,JHARKHAND,2017,30.25,6.15,7.15,331.0,3.0,3.6,,,
49,"SUBARNAREKHA AT D/S JAMSHEDPUR, (TATA NAGAR)",River,JHARKHAND,2017,26.0,4.6,7.2,342.0,6.25,5.0,,,
2387,SUBAREKHA AT GHATISLA ROAD BRIDGE,River,JHARKHAND,2017,29.5,7.75,7.55,247.0,0.3,1.25,,,
2385,SUBARNAREKHA AT NAMKUM ROAD BRIDGE,River,JHARKHAND,2017,26.75,6.1,7.2,,3.2,,185.0,1125.0,
2386,SUBARNAREKHA AT MURI ROAD BRIDGE,River,JHARKHAND,2017,26.5,6.8,7.25,,2.55,,190.0,1215.0,
2395,SUBARNAREKHA AT HATIA DAM,River,JHARKHAND,2017,24.75,8.3,7.6,,2.1,,190.0,1215.0,
2397,SUBARNAREKHA AT GATALSUD DAM,River,JHARKHAND,2017,25.75,8.05,7.45,278.0,1.65,0.55,190.0,1215.0,
