stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
1349,BRAHMSAROVAR LAKE AT KURUKSHETRA,Pond/Tank,HARYANA,2019,,24.0,6.35,8.25,456.5,5.4,0.105,6750.0,81050.0
1392,"KAUSSHALAYA LAKE, PINJORE, PANCHKULA",Pond/Tank,HARYANA,2019,,23.5,5.1,7.7,459.5,3.15,1.055,78500.0,175210.0
3033,SOHNA LAKE,Pond/Tank,HARYANA,2019,,7.5,6.4,7.65,1310.0,12.0,0.0,,
1109,WESTERN YAMUNA CANAL WC-1(Y.NAGAR)100M D/S AFTER RECEIVING IND.&SEW.EFFL,Canal,HARYANA,2019,,23.0,6.3,7.55,1182.5,2.9,1.405,2250.0,80750.0
1110,WESTERN YAMUNA CANAL WC-2 (NEAR KARNA LAKE)G.T.ROAD KARNAL,Canal,HARYANA,2019,,26.0,6.45,7.7,242.5,2.5,0.055,2750.0,27850.0
1113,"WESTERN YAMUNA CANAL WC-5 SIRSA BRANCH AT ROAD BRIDGE, KARNAL",Canal,HARYANA,2019,,25.0,6.95,7.6,316.0,1.85,0.065,1700.0,16000.0
1114,WESTERN YAMUNA CANAL WC-6 SIRSA BRANCH AT RD.BRIDGE JIND KAITHAL ROAD,Canal,HARYANA,2019,,22.0,5.7,7.9,715.0,13.2,2.16,1956.0,176605.0
1419,"GURGAON CANAL, GC-1, (NEAR BADARPUR BORDER)",CANAL,HARYANA,2019,,3.25,7.65,1165.0,25.0,4.5,3765.0,186365.0,
1886,WESTERN YAMUNA CANAL AT TAJEWALA,CANAL,HARYANA,2019,23.5,7.7,7.85,1145.5,2.05,0.935,6600.0,25200.0,
2056,WESTERN YAMUNA CANAL AT DAMLA D/S OF YAMUNA NAGAR,CANAL,HARYANA,2019,25.0,7.7,7.8,240.5,2.5,0.05,800.0,6700.0,
3047,WATER WORKS- GURGAON,Canal,HARYANA,2019,,,,7.3,265.5,2.5,0.56,1485.0,8165.0
30017,GHAGGAR AT SIRSA DABWALI ROAD (HARYANA),River,HARYANA,2019,,1.6,7.8,1240.0,19.0,1.45,2000.0,2000.0,
30018,GHAGGAR AT CHANDRAPUR SIPHON (HARYANA),River,HARYANA,2019,,,7.1,1430.0,206.0,1.81,20000.0,68000.0,
30020,GHAGGAR AT OTTU WEIR (HARYANA),River,HARYANA,2019,,,7.9,1420.0,94.0,1.14,4000.0,4000.0,
1025,"GHAGGAR GH-1 AT ROAD BRDG. SIRSA, DEBWALI ROAD",River,HARYANA,2019,18.0,4.25,8.95,9118.5,46.0,17.03,126100.0,423900.0,
1026,GHAGGAR GH-2 AT CHANDARPUR SYPHEN,River,HARYANA,2019,,3.85,8.75,8850.0,38.0,,96250.0,340000.0,
1884,GHAGGAR AT KALA AMB D/S MARKANDA,River,HARYANA,2019,23.5,4.65,5.4,1961.0,33.5,0.615,181000.0,2780500.0,
1885,RIVER GHAGGAR AT D/S OF SURAJPUR,River,HARYANA,2019,22.5,6.4,7.7,495.5,5.75,1.505,477000.0,1799000.0,
1887,GHAGGAR BEFORE OTTU WEIR (BEFORE MIXING OF SATLUJ CANAL WATER),River,HARYANA,2019,,3.15,9.2,11191.0,43.0,22.0,103800.0,370000.0,
2625,MARKANDA D/S KALA AMB/ BOUNDARY OF HARYANA,River,HARYANA,2019,22.5,8.0,7.7,485.0,1.2,0.38,30.0,127.0,
1119,YAMUNA AT SONEPAT,River,HARYANA,2019,,8.7,8.0,497.0,11.0,1.5,47011.5,47011.5,
