stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
GEN-9D684C,3582,Pond/Tank,KARNATAKA,2018,Safe,0.1,None,,,,,,20.0,,26.0,0.0
GEN-69EBA3,3583,Pond/Tank,KARNATAKA,2018,Safe,0.11,None,,,,,,22.0,,27.0,6.5
GEN-565767,3584,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,23.0,,29.0,0.0
GEN-2668A7,3585,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,19.0,,29.0,0.0
GEN-224E5E,3586,Pond/Tank,KARNATAKA,2018,Safe,0.13,None,,,,,,20.0,,33.0,4.0
GEN-ABA53D,3587,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,22.0,,29.0,5.0
GEN-9001CA,3591,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,24.0,,30.0,5.5
GEN-69F357,3592,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,24.0,,30.0,5.0
GEN-62E7F2,3601,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,25.0,,29.0,0.0
GEN-228B25,3602,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,26.0,,30.0,0.0
GEN-60A057,3608,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,25.0,,29.0,3.2
GEN-F95EC3,3610,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,23.0,,29.0,1.6
GEN-4CF33E,3611,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,26.0,,30.0,2.8
GEN-D87CA5,3612,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,26.0,,30.0,1.3
GEN-C4FA7A,3613,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,28.0,,29.0,2.3
GEN-6ADD07,3614,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,25.2,,30.0,2.2
GEN-D8C9D0,3615,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,25.4,,30.0,0.9
GEN-78D69F,3616,Pond/Tank,KARNATAKA,2018,Safe,0.11,None,,,,,,25.2,,28.0,5.4
GEN-DB6851,3617,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,25.3,,29.0,2.3
GEN-4DA9D7,3618,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,26.0,,30.0,1.5
GEN-4BAF54,3620,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,25.0,,30.0,2.1
GEN-C5B270,3621,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,27.0,,30.0,1.5
GEN-856B50,3622,Pond/Tank,KARNATAKA,2018,Safe,0.11,None,,,,,,26.0,,28.0,0.0
GEN-5EE007,3624,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,26.0,,31.0,0.0
GEN-DD7970,3625,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,24.0,,30.0,4.2
GEN-2BF283,3627,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,28.0,,31.0,4.0
GEN-3E524B,3628,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,27.0,,31.0,0.5
GEN-8A0572,3644,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,22.0,,29.0,1.2
GEN-D0AA51,3645,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,22.0,,29.0,1.8
GEN-B5A1D9,3646,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,20.0,,30.0,2.8
GEN-0D8080,3647,Pond/Tank,KARNATAKA,2018,Safe,0.1,None,,,,,,23.0,,26.0,2.0
GEN-49C0FA,3649,Pond/Tank,KARNATAKA,2018,Safe,0.1,None,,,,,,22.0,,25.0,5.6
GEN-F11BEC,3559,Pond/Tank,KARNATAKA,2018,Safe,0.11,None,,,,,,20.0,,28.0,6.6
GEN-0AE1DD,3560,Pond/Tank,KARNATAKA,2018,Safe,0.13,None,,,,,,24.0,,33.0,6.0
GEN-414A74,3561,Pond/Tank,KARNATAKA,2018,Safe,0.1,None,,,,,,20.0,,26.0,6.7
GEN-E6E713,3565,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,28.0,,31.0,6.2
GEN-C2964C,3588,Pond/Tank,KARNATAKA,2018,Safe,0.11,None,,,,,,23.0,,28.0,4.8
GEN-A385D7,3589,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,25.3,,30.0,1.5
GEN-DA6EA7,3590,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,24.6,,30.0,5.6
GEN-DCE8AF,3594,Pond/Tank,KARNATAKA,2018,Safe,0.11,None,,,,,,26.0,,28.0,4.3
GEN-C0E851,3595,Pond/Tank,KARNATAKA,2018,Safe,0.13,None,,,,,,24.6,,33.0,2.2
GEN-B89C30,3597,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,21.0,,29.0,4.6
GEN-6A4504,3598,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,22.0,,30.0,0.8
GEN-E7E69C,3599,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,22.0,,30.0,0.5
GEN-8D7628,3600,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,25.0,,29.0,0.0
GEN-6A8018,3603,Pond/Tank,KARNATAKA,2018,Safe,0.11,None,,,,,,20.0,,27.0,3.2
GEN-C254E7,3604,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,24.0,,29.0,4.2
GEN-A05D88,3605,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,22.0,,29.0,3.8
GEN-774B0E,3606,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,22.0,,30.0,0.5
GEN-820E69,3619,Pond/Tank,KARNATAKA,2018,Safe,0.11,None,,,,,,26.0,,28.0,3.4
GEN-0EE8B8,3626,Pond/Tank,KARNATAKA,2018,Safe,0.13,None,,,,,,26.0,,33.0,4.0
GEN-1305F6,3629,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,25.0,,31.0,4.4
GEN-1A5518,3630,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,28.0,,30.0,4.0
GEN-398475,3632,Pond/Tank,KARNATAKA,2018,Safe,0.1,None,,,,,,24.0,,26.0,4.0
GEN-E2EABA,3634,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,23.2,,30.5,4.6
GEN-A098B2,3635,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,24.3,,30.7,2.1
GEN-CAE82D,3637,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,25.0,,31.0,0.5
GEN-895DAA,3638,Pond/Tank,KARNATAKA,2018,Safe,0.11,None,,,,,,22.0,,28.0,5.8
GEN-4F11B5,3640,Pond/Tank,KARNATAKA,2018,Safe,0.11,None,,,,,,22.3,,28.7,0.0
GEN-22C5A9,3641,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,23.0,,29.8,4.6
GEN-7AE11A,3643,Pond/Tank,KARNATAKA,2018,Safe,0.11,None,,,,,,26.0,,27.0,3.2
GEN-CFF02A,3648,Pond/Tank,KARNATAKA,2018,Safe,0.11,None,,,,,,24.0,,27.0,0.6
GEN-45CEF8,3650,Pond/Tank,KARNATAKA,2018,Safe,0.1,None,,,,,,23.0,,26.0,1.1
GEN-C203E4,3651,Pond/Tank,KARNATAKA,2018,Safe,0.1,None,,,,,,22.0,,25.0,0.5
GEN-2DA6CC,3653,Pond/Tank,KARNATAKA,2018,Safe,0.1,None,,,,,,23.0,,26.0,5.0
GEN-CF8811,3654,Pond/Tank,KARNATAKA,2018,Safe,0.12,None,,,,,,24.0,,30.0,3.8
GEN-A22D33,3657,Pond/Tank,KARNATAKA,2018,Safe,0.11,None,,,,,,25.0,,27.0,3.0
GEN-07845C,3659,Pond/Tank,KARNATAKA,2018,Safe,0.11,None,,,,,,24.0,,28.0,3.2
GEN-9627C4,3660,Pond/Tank,KARNATAKA,2018,Safe,0.11,None,,,,,,25.0,,28.0,4.5
GEN-E76181,3661,Pond/Tank,KARNATAKA,2018,Safe,0.11,None,,,,,,25.0,,28.0,4.9
GEN-DDF902,3663,Pond/Tank,KARNATAKA,2018,Safe,0.11,None,,,,,,25.0,,28.0,4.6
GEN-B67FB3,3664,Pond/Tank,KARNATAKA,2018,Safe,0.11,None,,,,,,25.0,,28.0,4.5
GEN-691584,3665,Pond/Tank,KARNATAKA,2018,Safe,0.11,None,,,,,,25.0,,28.0,4.6
